panel,case,findEssentialMat,recoverPose_default50,recoverPose_repaired1000,baseline_m,frac_findEssentialMat,frac_default50,frac_repaired1000,run,n_frames,valid_pct,mean_inliers_pose,median_inliers_pose,frac_below_8
a,1.5 cm,500.0,0.0,500.0,,,,,,,,,,
a,1.5 cm + 10° roll,500.0,0.0,500.0,,,,,,,,,,
a,20 cm,500.0,500.0,500.0,,,,,,,,,,
b,,,,,0.005,1.0,0.0,0.356,,,,,,
b,,,,,0.005970032799398556,1.0,0.0,0.47,,,,,,
b,,,,,0.0071282583251789195,1.0,0.0,0.596,,,,,,
b,,,,,0.008511187200780795,1.0,0.0,0.788,,,,,,
b,,,,,0.010162413350096511,1.0,0.0,1.0,,,,,,
b,,,,,0.012133988204224393,1.0,0.0,1.0,,,,,,
b,,,,,0.014488061513346964,1.0,0.0,1.0,,,,,,
b,,,,,0.017298840486877062,1.0,0.0,1.0,,,,,,
b,,,,,0.02065492901964396,1.0,0.0,1.0,,,,,,
b,,,,,0.0246621207433047,1.0,0.0,1.0,,,,,,
b,,,,,0.02944673394805133,1.0,0.0,1.0,,,,,,
b,,,,,0.0351595935010059,1.0,0.0,1.0,,,,,,
b,,,,,0.04198078528290511,1.0,0.01,1.0,,,,,,
b,,,,,0.050125333016690365,1.0,0.066,1.0,,,,,,
b,,,,,0.05984997643808341,1.0,0.128,1.0,,,,,,
b,,,,,0.07146126447571774,1.0,0.194,1.0,,,,,,
b,,,,,0.08532521856130601,1.0,0.284,1.0,,,,,,
b,,,,,0.10187887068536954,1.0,0.36,1.0,,,,,,
b,,,,,0.12164403991146804,1.0,0.48,1.0,,,,,,
b,,,,,0.14524378162456233,1.0,0.612,1.0,,,,,,
b,,,,,0.17342202804146378,1.0,0.808,1.0,,,,,,
b,,,,,0.207067039109151,1.0,1.0,1.0,,,,,,
b,,,,,0.24723940303119515,1.0,1.0,1.0,,,,,,
b,,,,,0.29520546907999096,1.0,1.0,1.0,,,,,,
b,,,,,0.35247726659387646,1.0,1.0,1.0,,,,,,
b,,,,,0.42086016852155855,1.0,1.0,1.0,,,,,,
b,,,,,0.5025098020068219,1.0,1.0,1.0,,,,,,
b,,,,,0.6,1.0,1.0,1.0,,,,,,
c,,,,,,,,,1.0,697.0,93.54375896700144,564.7618364418938,420.0,6.456241032998565
c,,,,,,,,,2.0,712.0,93.82022471910112,597.0098314606741,396.5,6.179775280898876
c,,,,,,,,,3.0,704.0,91.76136363636364,580.5298295454545,417.0,8.238636363636363
