metric,family,source,k_gated_better,paired_t_p,wilcoxon_p,mean_diff_gated_minus_raw,raw_r1,raw_r2,raw_r3,gated_r1,gated_r2,gated_r3
valid_pose_pct,F1_L2,p3,1,0.5381044920347905,0.75,-0.6218406593864501,81.30434782608695,82.41279069767441,80.1186943620178,79.27536231884058,81.68604651162791,81.00890207715133
valid_pose_pct,F2_L2,p3,2,0.4574257723363746,0.75,0.4911400590999951,96.93877551020408,96.23493975903614,96.75850891410047,97.23032069970846,97.74096385542168,96.43435980551054
valid_pose_pct,F4_L2,p3,2,0.1978934071646138,0.5,0.6503308211257869,90.56603773584904,91.31121642969984,91.65154264972776,91.72714078374456,92.10110584518168,91.65154264972776
valid_pose_pct,F5_L2,phase2a,0,0.25684412867688455,0.5,-0.5126251774296454,90.625,90.9090909090909,90.08379888268156,90.625,89.79020979020979,89.66480446927375
valid_pose_pct,F6_L2,p3,3,0.1102285965685257,0.25,1.1115426287358616,91.83976261127596,91.3846153846154,90.46104928457868,93.47181008902078,92.76923076923076,90.77901430842608
valid_pose_pct,F9_L2,phase2a,1,0.22939572866630373,0.5,-0.8980488574263271,93.54375896700144,93.82022471910112,91.76136363636364,92.25251076040172,92.2752808988764,91.9034090909091
valid_pose_pct,F10_L3,p3,0,0.0326507129733668,0.25,-0.7263566503309846,94.87179487179488,93.4971098265896,94.20731707317071,94.01709401709402,92.6300578034682,93.75
valid_pose_pct,F11_L2,p3,0,0.14200396637703774,0.25,-0.8249009522673892,96.57980456026058,97.8369384359401,96.57980456026058,96.2540716612378,96.33943427620632,95.92833876221498
ate_rmse,F1_L2,p3,2,0.7536952296023978,0.75,-0.06492189822605814,2.783975043559662,2.91985492342966,3.5602571725099224,3.06383179031791,2.7760207422725647,3.229468912230595
ate_rmse,F2_L2,p3,0,0.15767600319643385,0.25,0.05805215010874446,1.119932725826977,0.9241876092478258,0.8608233693625121,1.136700541635094,1.0310132789437407,0.9113863341847136
ate_rmse,F4_L2,p3,1,0.79567595915239,0.75,0.027786206457581713,3.0673540434598783,3.3775438569342966,1.7680758742628364,2.9181015499175404,3.549303393966393,1.828927450145823
ate_rmse,F5_L2,phase2a,1,0.42937976523588206,0.5,0.08634321319339122,2.8814749363434675,2.8241970209935072,2.7490990263662285,2.797544238319766,2.958039904493891,2.9582164804697197
ate_rmse,F6_L2,p3,2,0.7289211369699061,1.0,-0.004398465317292118,0.5193017112088273,0.5446853034504386,0.4246576205176378,0.5368774988607665,0.5273649784686691,0.4112067618955917
ate_rmse,F9_L2,phase2a,2,0.530403312553609,0.75,-0.2971457727413059,3.0962707182939546,3.938744298880193,2.9267766561638915,2.701477300259789,3.011453744848527,3.3574233100058053
ate_rmse,F10_L3,p3,0,0.15270978630971824,0.25,0.381785095302089,2.5490157227043118,1.7058008044600437,2.2003183996222804,2.837388228376579,1.852565136402904,2.91053684791342
ate_rmse,F11_L2,p3,1,0.3288784221949454,0.5,0.1916509856446491,3.3637459994136725,3.45243812981527,3.175223993894579,3.726202992243939,3.3457362779918083,3.4944218098217217
rpe_t_norm,F1_L2,p3,2,0.35966949537719517,0.5,-0.030116834071421145,0.8515333030623496,0.8904481809376634,1.052923614073714,0.8716836767266789,0.8431073763682508,0.9897635427645338
rpe_t_norm,F2_L2,p3,1,0.25885441201694487,0.5,0.40114774902092926,1.9425478461518304,1.1883328551334824,1.2506327337661218,2.465377762219549,1.961015596420925,1.1585633234737485
rpe_t_norm,F4_L2,p3,1,0.5369869590824898,0.75,0.02120335533106969,1.1555476242517813,1.3761740333526742,1.020925150670431,1.1281651375415596,1.4481441571043228,1.0399475796222133
rpe_t_norm,F5_L2,phase2a,1,0.49976001176106705,0.5,0.012811879882316616,1.0941568929570715,1.0571744959933087,1.0500001391137297,1.0766751397369403,1.0781028084954931,1.0849892194786264
rpe_t_norm,F6_L2,p3,0,0.1877330318978173,0.25,0.028332486099289584,1.115284260417558,1.1356967238135638,1.1781297162683666,1.1723581327953194,1.15082282552996,1.1909272004720777
rpe_t_norm,F9_L2,phase2a,2,0.6853093768254822,0.75,-0.007291798363567932,0.9142630003007952,0.9326888341321018,0.8689109223681205,0.8925037323578646,0.9087848246534692,0.8926988046989799
rpe_t_norm,F10_L3,p3,1,0.3964500364271042,0.5,0.052345083914323944,1.1352179789163592,1.077111747698652,0.9581212512835224,1.1084675633154015,1.1191978818482913,1.0998207844778127
rpe_t_norm,F11_L2,p3,3,0.21912497122825847,0.25,-0.03921002846800344,1.01929923435852,1.0088920618315167,1.0000573207541408,0.94103892912874,0.9709814770259256,0.9985981253855016
