item,value,scope
s_RAW,0.09165110844053427,F9 R1 only
s_GATED,0.10985791080970662,F9 R1 only
meter_RPE_RAW,0.08379321738373639,F9 R1 only
meter_RPE_GATED,0.09804859542670057,F9 R1 only
meter_RPE_RAW_prescaled_by_sGATED,0.09778008256818871,F9 R1 only
normRPE_RAW,0.9142630003007951,F9 R1 only
normRPE_GATED,0.8925037323578646,F9 R1 only
ATE_RAW,3.0962707182939546,F9 R1 only
ATE_GATED,2.701477300259789,F9 R1 only
ATE_RAW_prescaled_by_sGATED_rigid_realign_(method_1B),3.1922682471384847,F9 R1 only
ATE_RAW_rescaled_after_alignment_(method_1A_archived_test),3.4275128141545403,F9 R1 only
ATE_RAW_prescaled_by_sGATED_scale_refit_(control_equals_RAW),3.0962707182939546,F9 R1 only
sim3_scale_RAW_R1,0.0916511084405342,F9 R1-R3
sim3_scale_EIS-GATED_R1,0.1098579108097066,F9 R1-R3
sim3_scale_RAW_R2,0.0740779594193275,F9 R1-R3
sim3_scale_EIS-GATED_R2,0.0795800054412477,F9 R1-R3
sim3_scale_RAW_R3,0.0984346418408554,F9 R1-R3
sim3_scale_EIS-GATED_R3,0.0995451141615855,F9 R1-R3
