target,predictor,lag,r_lag0,r_predictor_leads,r_target_leads,failure_frames,failure_episodes,single_frame_episodes,max_episode_len
continuous_inliers_pose,estimated_rotational_flow_magnitude,3,-0.15310165554110813,-0.13713163355490637,-0.14848043419514365,147,146,145,2
continuous_inliers_pose,estimated_rotational_flow_magnitude,10,-0.15310165554110813,-0.019694300883066014,-0.0836025654251553,147,146,145,2
continuous_inliers_pose,estimated_translational_flow_magnitude,3,-0.1376813572890421,-0.1202437724144337,-0.12694987112206746,147,146,145,2
continuous_inliers_pose,estimated_translational_flow_magnitude,10,-0.1376813572890421,-0.010516992324882164,-0.06957707326046297,147,146,145,2
continuous_inliers_pose,feature_vel_mean,3,-0.12003764511418877,-0.09734678226092186,-0.10773498057299534,147,146,145,2
continuous_inliers_pose,feature_vel_mean,10,-0.12003764511418877,-0.0028345552335015604,-0.06564007786778575,147,146,145,2
binary_failure,feature_count,3,-0.11912853142515661,-0.12027031507402676,-0.12103837792944848,147,146,145,2
binary_failure,feature_count,10,-0.11912853142515661,-0.09707152332297106,-0.11502640749863703,147,146,145,2
binary_failure,spatial_distribution_score,3,-0.07316822986270777,-0.08547896250462986,-0.07905625487186266,147,146,145,2
binary_failure,spatial_distribution_score,10,-0.07316822986270777,-0.053608352495445925,-0.08635741512135259,147,146,145,2
binary_failure,flow_direction_entropy,3,-0.07267086834471258,-0.07840791559923382,-0.06565126003349041,147,146,145,2
binary_failure,flow_direction_entropy,10,-0.07267086834471258,-0.06792134318696125,-0.07974200167047424,147,146,145,2
