run_dir,generation,family,run,track,n_vo_frames,n_gt_rows,active_window_sec,raw_vo_md5,files_present,n_files
p3_F10_L3_R1,p3,F10_L3,1,core,1009,1627,23.17,867438a517e93c1f496a8d084aac9b65,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F10_L3_R2,p3,F10_L3,2,core,1026,1917,22.84,e342dfa05cb3b7cdc3a1d7c5cfc8ed95,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F10_L3_R3,p3,F10_L3,3,core,1033,2145,21.67,50bd2acd9eea511656023b2fb3fe7f9c,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F11_L2_R1,p3,F11_L2,1,core,968,2209,20.25,f4b469ab94d6fdafded2aa3afeddbea9,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F11_L2_R2,p3,F11_L2,2,core,961,2178,19.83,56f32317429c74fd7602bee8b6a114e9,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F11_L2_R3,p3,F11_L2,3,core,980,2189,20.28,764730161fd6c73e3172b505e056b4ba,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F1_L2_R1,p3,F1_L2,1,core,1046,2140,22.76,53631e3edf574e6945b3181f36550cce,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F1_L2_R2,p3,F1_L2,2,core,1066,2122,22.71,bc790a161794b12a1b642e7a63146fac,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F1_L2_R3,p3,F1_L2,3,core,1037,2125,22.24,2029be57bdf378e1850bccd650e909cb,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F2_L2_R1,p3,F2_L2,1,core,1043,2022,22.65,800ee2a09580902df9179e990b1ec14c,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F2_L2_R2,p3,F2_L2,2,core,1051,2097,21.91,cd6c5226d9634a85bf1447c9e03209a8,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F2_L2_R3,p3,F2_L2,3,core,1023,1985,20.38,dbbde6c67b5a9d929a95383cf9b886e7,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F4_L2_R1,p3,F4_L2,1,core,1069,2114,22.76,3d9f130a9633a25de9848abdf4c9fab5,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F4_L2_R2,p3,F4_L2,2,core,1030,2005,20.89,e0f157071b8ecee53f2008b4fc01a9f2,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F4_L2_R3,p3,F4_L2,3,core,912,2204,18.18,1d1408d4b0c3cb3203b08366ce346526,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F6_L2_R1,p3,F6_L2,1,core,1023,2147,22.24,d755a7e105fae02757a3d9046d72bb8b,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F6_L2_R2,p3,F6_L2,2,core,1052,2144,21.45,db56a090d18b5f288e650899e5378c88,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3_F6_L2_R3,p3,F6_L2,3,core,1043,2043,20.75,ed77b4aa084466d4150726a6dd8c308c,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F3_L2_R1,p3x,F3_L2,1,exploratory,952,2155,18.94,fa8b0b2b927ac97f21a035133e1ac4b2,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F3_L2_R2,p3x,F3_L2,2,exploratory,957,2181,18.99,285311ca000f2b2f12d4d33f0a7d5d28,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F3_L2_R3,p3x,F3_L2,3,exploratory,962,2228,19.26,342267745f53a49038f9e553423767af,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F7_L2_R1,p3x,F7_L2,1,exploratory,1090,2126,23.62,456e9cbcf4c9ef34d176f5c8bd1496af,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F7_L2_R2,p3x,F7_L2,2,exploratory,1093,2120,23.23,5d09c98af2d123ab1c6207fe9abc9b90,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F7_L2_R3,p3x,F7_L2,3,exploratory,1116,2174,23.1,12fca901ed50ccf4b30e4b6351551e18,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F8_L2_R1,p3x,F8_L2,1,exploratory,1116,2178,23.41,e8ef63fa6ffa1246297097978095041a,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F8_L2_R2,p3x,F8_L2,2,exploratory,1113,2177,23.32,7b09ef4cef1e2a0834fe4e5802521844,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_F8_L2_R3,p3x,F8_L2,3,exploratory,1109,2165,23.36,866e9b3e20a8c7b46b3f1565c0aab027,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_HOVER_L0_R1,p3x,HOVER_L0,1,exploratory,953,2221,18.82,8a7253f55a6dc204b4347bcb1c33bc3b,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_HOVER_L0_R2,p3x,HOVER_L0,2,exploratory,931,2151,19.02,513de15902d2d06a8a06255d455971e2,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
p3x_HOVER_L0_R3,p3x,HOVER_L0,3,exploratory,923,2196,18.01,3bcb333ce5b7c0094ba22824ba9543f7,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;camera_frames.csv;dataset_gt.csv,5
phase2a_F5_L2,phase2a,F5_L2,0,core,1094,2131,23.24,32106fd735029224c5a31abcfef1faff,raw_vo.csv;eis_vo.csv;camera_frames.csv;dataset_gt.csv,4
phase2a_F5_L2_R1,phase2a,F5_L2,1,core,1094,2131,23.24,c53676529166edee808ac1020b33a810,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2a_F5_L2_R2,phase2a,F5_L2,2,core,1099,2131,23.59,c157092fe22cf0d2f86d2e58a073cced,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2a_F5_L2_R3,phase2a,F5_L2,3,core,1092,2136,23.65,bc1be6bad1af56b39579ca02ba0f6e3f,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2a_F6_L2,phase2a,F6_L2,0,core,1107,2155,23.21,aac506e4bfc35d3154673d50b8c68f64,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2a_F9_L2_R1,phase2a,F9_L2,1,core,1110,2162,23.01,807448e8c4250333514561d6874e0174,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2a_F9_L2_R2,phase2a,F9_L2,2,core,1084,2110,23.48,8946da671ca516bd28d5ab224b8fb675,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2a_F9_L2_R3,phase2a,F9_L2,3,core,1105,2153,23.22,a7f2ddcdd61f4c2fd6400c2a210758ce,raw_vo.csv;eis_gated_vo.csv;gated_dt_def_a_vo.csv;eis_vo.csv;eis_inc_vo.csv;eis_null_vo.csv;eis_scaled_vo.csv;gated_dt_def_b_vo.csv;raw_dt_def_a_vo.csv;raw_dt_def_b_vo.csv;vfo_timeseries.csv;camera_frames.csv;dataset_gt.csv,13
phase2b_candidate4_L2_R1,phase2b,candidate4_L2,1,other,1099,2139,23.48,b5ef4593fbb075619f32dce56c529258,raw_vo.csv;eis_gated_vo.csv;camera_frames.csv;dataset_gt.csv,4
phase2b_candidate4_L2_R2,phase2b,candidate4_L2,2,other,0,2138,23.64,,camera_frames.csv;dataset_gt.csv,2
phase2b_candidate4_L2_R3,phase2b,candidate4_L2,3,other,0,2124,23.44,,camera_frames.csv;dataset_gt.csv,2
