run_dir,n_r_frames,md5_gated,md5_dt,byte_identical,dormant,notes
p3_F10_L3_R1,500,a9dc009fe3fbe99dbecd23fe945141f9,a7d762dca3608dfc895699aa5e62ff86,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F10_L3_R2,471,6424bdb05ee213a9f55675960e14089c,6c4d332186dabcb067cf1b2b66557855,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F10_L3_R3,472,80b61299b4609994c7b5853c795fcbb5,cd47f6e5aa5e56f6cf13d42b352e2d8a,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F11_L2_R1,47,e839e0bc405eecab4b4be122bf90e892,8a610fb6acfdc0fb542b7af924b5f834,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F11_L2_R2,44,ac71d169e9afeb26a9d31c4024377566,44dad110a9071fd68e12a3ce0374648d,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F11_L2_R3,46,6c8a1fe32212cac0e85c462e6a32362e,9ada252b6848c88a33d45ca432fbbfdf,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F1_L2_R1,0,d729c46bbbf2bce5e976a8af93bb58d3,d729c46bbbf2bce5e976a8af93bb58d3,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F1_L2_R2,0,58097d7290c5824e82696f7d344b5f35,58097d7290c5824e82696f7d344b5f35,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F1_L2_R3,0,294be5f39d8abc9875399c50c82dc9bb,294be5f39d8abc9875399c50c82dc9bb,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F2_L2_R1,0,245e325c2364be1e2e73b6d44a501118,245e325c2364be1e2e73b6d44a501118,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F2_L2_R2,0,736a0522b174aafc345c492a2184d30f,736a0522b174aafc345c492a2184d30f,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F2_L2_R3,0,30e7cddc535a4c44abacc3db9e3502e5,30e7cddc535a4c44abacc3db9e3502e5,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F4_L2_R1,0,2918f0482d316bfc8b678b3f63f91e2d,2918f0482d316bfc8b678b3f63f91e2d,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F4_L2_R2,0,bd22eb913bb1818fbde9223e9b5d4be9,bd22eb913bb1818fbde9223e9b5d4be9,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F4_L2_R3,0,2d81f1d56c912f6d2eac2f7f71176e3f,2d81f1d56c912f6d2eac2f7f71176e3f,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F6_L2_R1,436,c6b6a523699cbddd0e7675ea5e79299f,4a034d011514b45047f9aa003436cc65,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F6_L2_R2,467,4fde15ada4b2d1e283eca6d6f41e4308,c6f6e533eceb4262eaa086a307a571a6,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3_F6_L2_R3,413,2b6565c2686ed1d75905f406803cac55,f5316150ac78090ebc3a9c6c11b1757a,False,False,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F3_L2_R1,0,b53026ebee304d4064232c43c8d86bc2,b53026ebee304d4064232c43c8d86bc2,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F3_L2_R2,0,ca2a45d8dd694dc4273a665b439a063b,ca2a45d8dd694dc4273a665b439a063b,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F3_L2_R3,0,c0c6f380e7726f95b240457caf012365,c0c6f380e7726f95b240457caf012365,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F7_L2_R1,0,8d7a124240d91971a2af6b4772dbf4ad,8d7a124240d91971a2af6b4772dbf4ad,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F7_L2_R2,0,54f6dde8546ace77762e9deebac00686,54f6dde8546ace77762e9deebac00686,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F7_L2_R3,0,c7c6a4af20c144a40dd52da472d606da,c7c6a4af20c144a40dd52da472d606da,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F8_L2_R1,0,cd72e2fd6c3c537e2224d60cc66c30f6,cd72e2fd6c3c537e2224d60cc66c30f6,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F8_L2_R2,0,ec61ca3848c6db28e6a9d8d2c5e6ef65,ec61ca3848c6db28e6a9d8d2c5e6ef65,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_F8_L2_R3,0,0f9b753dc39912186d95aa7110237375,0f9b753dc39912186d95aa7110237375,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
p3x_HOVER_L0_R1,0,3d618e70d8f74e594bbddad598779333,3d618e70d8f74e594bbddad598779333,True,True,37 evaluated matrix runs (24 core + 12 exploratory + 1 F9 legacy)
