run_dir,n_images,size_mb,size_bytes,csv_referenced,csv_missing,has_images_dir,has_camera_frames_csv
p3_F10_L3_R1,1009,316.3,331672253,1009,0,True,True
p3_F10_L3_R2,1026,334.1,350374802,1026,0,True,True
p3_F10_L3_R3,1033,325.1,340871235,1033,0,True,True
p3_F11_L2_R1,968,289.8,303835398,968,0,True,True
p3_F11_L2_R2,961,289.1,303182425,961,0,True,True
p3_F11_L2_R3,980,291.6,305724481,980,0,True,True
p3_F1_L2_R1,1046,257.1,269558871,1046,0,True,True
p3_F1_L2_R2,1066,261.8,274474003,1066,0,True,True
p3_F1_L2_R3,1037,254.9,267261421,1037,0,True,True
p3_F2_L2_R1,1043,263.1,275843070,1043,0,True,True
p3_F2_L2_R2,1051,266.9,279913992,1051,0,True,True
p3_F2_L2_R3,1023,259.7,272297880,1023,0,True,True
p3_F4_L2_R1,1069,264.8,277632142,1069,0,True,True
p3_F4_L2_R2,1030,254.3,266610185,1030,0,True,True
p3_F4_L2_R3,912,213.4,223757662,912,0,True,True
p3_F6_L2_R1,1023,316.0,331372915,1023,0,True,True
p3_F6_L2_R2,1052,323.4,339083142,1052,0,True,True
p3_F6_L2_R3,1043,319.5,334990956,1043,0,True,True
p3x_F3_L2_R1,952,239.6,251195521,952,0,True,True
p3x_F3_L2_R2,957,240.5,252205210,957,0,True,True
p3x_F3_L2_R3,962,240.4,252073829,962,0,True,True
p3x_F7_L2_R1,1090,270.5,283610216,1090,0,True,True
p3x_F7_L2_R2,1093,270.6,283766023,1093,0,True,True
p3x_F7_L2_R3,1116,274.2,287467231,1116,0,True,True
p3x_F8_L2_R1,1116,273.8,287089776,1116,0,True,True
p3x_F8_L2_R2,1113,273.2,286463448,1113,0,True,True
p3x_F8_L2_R3,1109,272.6,285829168,1109,0,True,True
p3x_HOVER_L0_R1,953,238.7,250316134,953,0,True,True
p3x_HOVER_L0_R2,931,235.8,247232652,931,0,True,True
p3x_HOVER_L0_R3,923,231.4,242670019,923,0,True,True
phase2a_F5_L2,1094,270.6,283720972,1094,0,True,True
phase2a_F5_L2_R1,1094,270.6,283720972,1094,0,True,True
phase2a_F5_L2_R2,1099,272.3,285541580,1099,0,True,True
phase2a_F5_L2_R3,1092,270.5,283651604,1092,0,True,True
phase2a_F6_L2,1107,343.1,359739615,1107,0,True,True
phase2a_F9_L2_R1,1110,326.5,342352371,1110,0,True,True
phase2a_F9_L2_R2,1084,321.3,336891201,1084,0,True,True
phase2a_F9_L2_R3,1105,325.3,341131359,1105,0,True,True
phase2b_candidate4_L2_R1,1099,323.4,339065699,1099,0,True,True
phase2b_candidate4_L2_R2,1098,271.8,285001534,1098,0,True,True
phase2b_candidate4_L2_R3,1091,311.7,326877006,1091,0,True,True
