dataset_dir,n_gt_rows,n_duplicate_timestamps,frac_consecutive_rows_lt_5ms,n_heading_jumps_gt10deg,max_heading_jump_deg,n_rows_z_below_2_inside_window
p3_F10_L3_R1,1627,141,0.11555555555555555,0,5.454698915034754,0
p3_F10_L3_R2,1917,547,0.20902090209020902,11,23.645437596885515,14
p3_F10_L3_R3,2145,313,0.1777583187390543,0,6.818678795158235,123
p3_F11_L2_R1,2209,477,0.30847145488029465,0,4.729645212223588,25
p3_F11_L2_R2,2178,481,0.2998102466793169,0,3.048218555346793,0
p3_F11_L2_R3,2189,487,0.2832535885167464,0,3.882761190526665,0
p3_F1_L2_R1,2140,242,0.15032154340836013,0,0.017264594788699017,0
p3_F1_L2_R2,2122,227,0.11934156378600823,0,0.06360828660584505,0
p3_F1_L2_R3,2125,487,0.25258215962441316,0,0.09447258721992738,0
p3_F2_L2_R1,2022,312,0.14601344860710855,0,0.016490280590786582,0
p3_F2_L2_R2,2097,173,0.10522088353413654,0,0.013453081359386998,0
p3_F2_L2_R3,1985,419,0.242728184553661,0,0.11789218234321819,0
p3_F4_L2_R1,2114,166,0.09367493995196156,0,0.017695493348844904,0
p3_F4_L2_R2,2005,472,0.2678751258811682,0,0.06084487705231201,0
p3_F4_L2_R3,2204,534,0.27507447864945384,0,0.024083092236163395,0
p3_F6_L2_R1,2147,625,0.23645833333333333,4,20.521372975111632,0
p3_F6_L2_R2,2144,263,0.1676802780191138,0,3.0916748369108475,0
p3_F6_L2_R3,2043,551,0.21313364055299538,4,28.689670004549455,0
p3x_F3_L2_R1,2155,480,0.27123552123552125,0,0.003709034442641479,25
p3x_F3_L2_R2,2181,467,0.2669902912621359,0,0.0038703123979972887,77
p3x_F3_L2_R3,2228,492,0.2667964946445959,0,0.003456108522351231,0
p3x_F7_L2_R1,2126,80,0.07520476545048399,0,0.03321917980991984,0
p3x_F7_L2_R2,2120,75,0.09613928841786526,0,0.02090421245305374,0
p3x_F7_L2_R3,2174,308,0.1095890410958904,0,0.025956229200720493,0
p3x_F8_L2_R1,2178,292,0.12792642140468227,0,0.05850662342200841,0
p3x_F8_L2_R2,2177,300,0.12447434819175777,0,0.05910915442159759,0
p3x_F8_L2_R3,2165,275,0.11759868421052631,0,0.02053157404561523,0
p3x_HOVER_L0_R1,2221,486,0.25191570881226055,0,0.0022654733067033472,0
p3x_HOVER_L0_R2,2151,495,0.23412698412698413,0,0.0027519376024335296,0
p3x_HOVER_L0_R3,2196,466,0.2591493570722057,0,0.0024802252022078086,0
phase2a_F5_L2,2131,97,0.10771581359816654,0,0.01962283481273075,0
phase2a_F5_L2_R1,2131,97,0.10771581359816654,0,0.01962283481273075,0
phase2a_F5_L2_R2,2131,89,0.10550113036925396,0,0.023420984836516556,0
phase2a_F5_L2_R3,2136,107,0.09655688622754491,0,0.018744722138828163,0
phase2a_F6_L2,2155,127,0.09937888198757763,0,3.118579324063589,0
phase2a_F9_L2_R1,2162,94,0.1062015503875969,0,3.988570456463922,0
phase2a_F9_L2_R2,2110,90,0.10936329588014981,0,4.029263791235159,0
phase2a_F9_L2_R3,2153,110,0.11195734958111196,0,3.3355667709497183,0
phase2b_candidate4_L2_R1,2139,95,0.06580937972768533,0,3.406039761368625,0
phase2b_candidate4_L2_R2,2138,75,0.08605341246290801,0,0.045492980791698,0
phase2b_candidate4_L2_R3,2124,103,0.11599696739954511,0,2.1724955624506066,0
