family,run,mechanism,source_dir,ate_rmse,rpe_t_m,rpe_t_norm,rpe_t_norm_valid,rpe_t_norm_starved,valid_pose_pct,tracking_loss_pct,n_active_frames,sim3_scale
F1_L2,1,RAW,p3,2.783975043559662,0.04923639883123625,0.8515333030623496,0.8261654656178663,0.9627157781119985,81.30434782608695,18.695652173913043,690,0.05782087283511815
F1_L2,1,EIS-GATED,p3,3.06383179031791,0.04936690468705889,0.8716836767266789,0.8230322975274449,1.059094271247672,79.27536231884058,20.724637681159418,690,0.05663396712032059
F1_L2,1,DELAYED-TRI,p3,3.06383179031791,0.04936690468705889,0.8716836767266789,0.8230322975274449,1.059094271247672,79.27536231884058,20.724637681159418,690,0.05663396712032059
F1_L2,2,RAW,p3,2.9198549234296602,0.04619233046428467,0.8904481809376634,0.8423301630494451,1.1155291571751136,82.41279069767441,17.587209302325583,688,0.05187537181067969
F1_L2,2,EIS-GATED,p3,2.7760207422725647,0.04680174304901493,0.8431073763682508,0.7871783915662272,1.0921245229867842,81.68604651162791,18.313953488372093,688,0.05551101124345158
F1_L2,2,DELAYED-TRI,p3,2.7760207422725647,0.04680174304901493,0.8431073763682508,0.7871783915662272,1.0921245229867842,81.68604651162791,18.313953488372093,688,0.05551101124345158
F1_L2,3,RAW,p3,3.5602571725099224,0.05202860981234339,1.052923614073714,1.0663658113700345,0.9988538801728429,80.1186943620178,19.881305637982198,674,0.04941347037611499
F1_L2,3,EIS-GATED,p3,3.229468912230595,0.05324234815191336,0.9897635427645338,0.9607366773671939,1.113354493089144,81.00890207715133,18.991097922848667,674,0.05379299787422034
F1_L2,3,DELAYED-TRI,p3,3.229468912230595,0.05324234815191336,0.9897635427645338,0.9607366773671939,1.113354493089144,81.00890207715133,18.991097922848667,674,0.05379299787422034
F2_L2,1,RAW,p3,1.119932725826977,0.02383255701626105,1.9425478461518306,1.9611543503792745,1.3542279029602522,96.93877551020408,3.061224489795918,686,0.01226871042763406
F2_L2,1,EIS-GATED,p3,1.136700541635094,0.023946045195244736,2.465377762219549,2.4840995751558963,1.809128950871805,97.23032069970846,2.7696793002915454,686,0.009712931446938342
F2_L2,1,DELAYED-TRI,p3,1.136700541635094,0.023946045195244736,2.465377762219549,2.4840995751558963,1.809128950871805,97.23032069970846,2.7696793002915454,686,0.009712931446938342
F2_L2,2,RAW,p3,0.9241876092478258,0.02439602362229287,1.1883328551334824,1.2009257257110053,0.8669627979950921,96.23493975903614,3.7650602409638556,664,0.020529621407759973
F2_L2,2,EIS-GATED,p3,1.0310132789437407,0.024066244951992565,1.961015596420925,1.9791875213323815,1.17598844024601,97.74096385542168,2.2590361445783134,664,0.012272337352092549
F2_L2,2,DELAYED-TRI,p3,1.0310132789437407,0.024066244951992565,1.961015596420925,1.9791875213323815,1.17598844024601,97.74096385542168,2.2590361445783134,664,0.012272337352092549
F2_L2,3,RAW,p3,0.8608233693625121,0.028269833267725624,1.2506327337661218,1.2664386872643725,0.779615319518257,96.75850891410049,3.2414910858995136,617,0.02260442454804026
F2_L2,3,EIS-GATED,p3,0.9113863341847137,0.031299682564073956,1.1585633234737485,1.1617618249222905,1.0722037843631078,96.43435980551054,3.565640194489465,617,0.027015944601307903
F2_L2,3,DELAYED-TRI,p3,0.9113863341847137,0.031299682564073956,1.1585633234737485,1.1617618249222905,1.0722037843631078,96.43435980551054,3.565640194489465,617,0.027015944601307903
F4_L2,1,RAW,p3,3.0673540434598783,0.03982661618303298,1.1555476242517813,1.089696048774429,1.7867096476731736,90.56603773584905,9.433962264150944,689,0.034465577486536544
F4_L2,1,EIS-GATED,p3,2.9181015499175404,0.04153683645158392,1.1281651375415596,1.0507122863286642,1.985581788687822,91.72714078374456,8.272859216255442,689,0.03681804646268266
F4_L2,1,DELAYED-TRI,p3,2.9181015499175404,0.04153683645158392,1.1281651375415596,1.0507122863286642,1.985581788687822,91.72714078374456,8.272859216255442,689,0.03681804646268266
F4_L2,2,RAW,p3,3.3775438569342966,0.05626280776881215,1.3761740333526742,1.337897083377564,1.7777340358188272,91.31121642969984,8.688783570300158,633,0.04088349758478083
F4_L2,2,EIS-GATED,p3,3.549303393966393,0.055886207726458685,1.4481441571043228,1.3989234118648592,2.0210736316916753,92.10110584518168,7.898894154818326,633,0.03859160529861027
F4_L2,2,DELAYED-TRI,p3,3.549303393966393,0.055886207726458685,1.4481441571043228,1.3989234118648592,2.0210736316916753,92.10110584518168,7.898894154818326,633,0.03859160529861027
F4_L2,3,RAW,p3,1.7680758742628364,0.04537407773880383,1.0209251506704313,0.9959118724848613,1.2949836768775462,91.65154264972777,8.348457350272232,551,0.044444078695688054
F4_L2,3,EIS-GATED,p3,1.828927450145823,0.04865310807931023,1.0399475796222133,1.000301656883555,1.474328993976208,91.65154264972777,8.348457350272232,551,0.04678419281189603
F4_L2,3,DELAYED-TRI,p3,1.828927450145823,0.04865310807931023,1.0399475796222133,1.000301656883555,1.474328993976208,91.65154264972777,8.348457350272232,551,0.04678419281189603
F5_L2,1,RAW,phase2a,2.8814749363434675,0.03668219557278651,1.0941568929570715,1.0157745983716957,1.8506647967583516,90.625,9.375,704,0.033525535331271464
F5_L2,1,EIS-GATED,phase2a,2.797544238319766,0.03915410927509609,1.0766751397369405,0.9981954658924929,1.834122900932597,90.625,9.375,704,0.03636575957782628
F5_L2,1,DELAYED-TRI,phase2a,2.797544238319766,0.03915410927509609,1.0766751397369405,0.9981954658924929,1.834122900932597,90.625,9.375,704,0.03636575957782628
F5_L2,2,RAW,phase2a,2.8241970209935072,0.03866830386693114,1.0571744959933087,0.9816824523750765,1.8109335161199662,90.9090909090909,9.090909090909092,715,0.036577030578664176
F5_L2,2,EIS-GATED,phase2a,2.958039904493891,0.03940793309083092,1.0781028084954933,0.9997293299286869,1.7662863668697775,89.79020979020979,10.20979020979021,715,0.03655303815210834
F5_L2,2,DELAYED-TRI,phase2a,2.958039904493891,0.03940793309083092,1.0781028084954933,0.9997293299286869,1.7662863668697775,89.79020979020979,10.20979020979021,715,0.03655303815210834
F5_L2,3,RAW,phase2a,2.7490990263662285,0.03687429524802189,1.0500001391137295,0.9600321522172853,1.8660477949068306,90.08379888268156,9.916201117318437,716,0.035118371773880205
F5_L2,3,EIS-GATED,phase2a,2.9582164804697193,0.03969650540349719,1.0849892194786264,1.0044369713520298,1.7827458552779287,89.66480446927375,10.335195530726256,716,0.03658700445205593
F5_L2,3,DELAYED-TRI,phase2a,2.9582164804697193,0.03969650540349719,1.0849892194786264,1.0044369713520298,1.7827458552779287,89.66480446927375,10.335195530726256,716,0.03658700445205593
F6_L2,1,RAW,p3,0.5193017112088273,0.016143753691594646,1.115284260417558,1.1332138541109764,0.9138208258260574,91.83976261127596,8.160237388724036,674,0.014475012572624749
F6_L2,1,EIS-GATED,p3,0.5368774988607665,0.01698365900670723,1.1723581327953194,1.1832552449257543,1.0165789616579697,93.47181008902078,6.528189910979229,674,0.014486749851951926
F6_L2,1,DELAYED-TRI,p3,0.4919386499722434,0.020213354528427124,0.5114321361820944,0.878343468973866,0.23529313832578702,43.02670623145401,56.97329376854599,674,0.039523043427271455
F6_L2,2,RAW,p3,0.5446853034504386,0.014946529283294206,1.1356967238135638,1.1631330913383746,0.845165189131187,91.38461538461539,8.615384615384615,650,0.013160669543102277
F6_L2,2,EIS-GATED,p3,0.5273649784686691,0.016295291130980417,1.15082282552996,1.1667711687302709,0.946548301985552,92.76923076923077,7.230769230769231,650,0.01415968711211159
F6_L2,2,DELAYED-TRI,p3,0.5127663663360055,0.018695401725989557,0.47589347658905073,0.9741365957917079,0.20054859492442448,35.69230769230769,64.3076923076923,650,0.039284845549865846
F6_L2,3,RAW,p3,0.4246576205176378,0.01638582963432774,1.1781297162683666,1.207690334608289,0.8982891959837678,90.46104928457869,9.538950715421304,629,0.013908340828740463
