predictor,lag,r_continuous,r_binary,n_samples
feature_count,0,0.0901,-0.1191,2113
feature_count,1,0.0856,-0.1252,2110
feature_count,2,0.074,-0.1194,2107
feature_count,3,0.0649,-0.1203,2104
feature_count,5,0.0415,-0.1095,2098
feature_count,10,0.0137,-0.0971,2083
feature_vel_mean,0,-0.12,0.0174,2113
feature_vel_mean,1,-0.1209,0.0322,2110
feature_vel_mean,2,-0.1102,0.0373,2107
feature_vel_mean,3,-0.0973,0.0294,2104
feature_vel_mean,5,-0.0772,0.0333,2098
feature_vel_mean,10,-0.0028,0.0319,2083
texture_density,0,0.089,-0.0396,2113
texture_density,1,0.0792,-0.0264,2110
texture_density,2,0.0836,-0.0255,2107
texture_density,3,0.0908,-0.0252,2104
texture_density,5,0.0887,-0.0333,2098
texture_density,10,0.0936,-0.0323,2083
mean_lk_err,0,-0.0362,0.0238,2113
mean_lk_err,1,-0.0319,0.022,2110
mean_lk_err,2,-0.0317,0.0095,2107
mean_lk_err,3,-0.0344,0.0121,2104
mean_lk_err,5,-0.0224,0.0163,2098
mean_lk_err,10,0.0314,0.0123,2083
flow_coherence,0,-0.0261,0.0312,2113
flow_coherence,1,-0.0282,0.0329,2110
flow_coherence,2,-0.027,0.0463,2107
flow_coherence,3,-0.0179,0.0332,2104
flow_coherence,5,-0.0194,0.0435,2098
flow_coherence,10,-0.0336,0.032,2083
spatial_distribution_score,0,0.0587,-0.0732,2113
spatial_distribution_score,1,0.0572,-0.0842,2110
spatial_distribution_score,2,0.0466,-0.0798,2107
spatial_distribution_score,3,0.0381,-0.0855,2104
spatial_distribution_score,5,0.0144,-0.0775,2098
spatial_distribution_score,10,0.0091,-0.0536,2083
flow_direction_entropy,0,0.0444,-0.0727,2113
flow_direction_entropy,1,0.0408,-0.0739,2110
flow_direction_entropy,2,0.0297,-0.0806,2107
flow_direction_entropy,3,0.0228,-0.0784,2104
flow_direction_entropy,5,0.0224,-0.0649,2098
flow_direction_entropy,10,0.0687,-0.0679,2083
rotational_flow_ratio,0,-0.0716,0.0295,2113
rotational_flow_ratio,1,-0.0633,0.022,2110
rotational_flow_ratio,2,-0.0595,0.0185,2107
rotational_flow_ratio,3,-0.0606,0.0067,2104
rotational_flow_ratio,5,-0.064,0.0106,2098
rotational_flow_ratio,10,-0.0521,0.0079,2083
feature_survival_rate,0,0.0258,0.0283,2113
feature_survival_rate,1,0.031,-0.0183,2110
feature_survival_rate,2,0.0028,-0.0192,2107
feature_survival_rate,3,-0.0254,0.0057,2104
feature_survival_rate,5,-0.0556,0.0106,2098
feature_survival_rate,10,-0.0778,0.0161,2083
border_loss_pct,0,-0.0141,-0.0017,2113
border_loss_pct,1,-0.0165,0.0013,2110
border_loss_pct,2,-0.0147,0.0555,2107
border_loss_pct,3,0.0279,0.0068,2104
border_loss_pct,5,0.0405,-0.0105,2098
border_loss_pct,10,0.0772,0.034,2083
estimated_rotational_flow_magnitude,0,-0.1531,0.0321,2113
estimated_rotational_flow_magnitude,1,-0.1443,0.0314,2110
estimated_rotational_flow_magnitude,2,-0.1328,0.0166,2107
estimated_rotational_flow_magnitude,3,-0.1371,0.0214,2104
estimated_rotational_flow_magnitude,5,-0.1147,0.0172,2098
estimated_rotational_flow_magnitude,10,-0.0197,0.024,2083
estimated_translational_flow_magnitude,0,-0.1377,0.0173,2113
estimated_translational_flow_magnitude,1,-0.1348,0.0274,2110
estimated_translational_flow_magnitude,2,-0.124,0.0257,2107
estimated_translational_flow_magnitude,3,-0.1202,0.0251,2104
estimated_translational_flow_magnitude,5,-0.0984,0.0307,2098
estimated_translational_flow_magnitude,10,-0.0105,0.0331,2083
