run,bin,bin_idx,n_frames,n_failures,raw_pose_loss_pct,ci_95_lo,ci_95_hi
1,"[0,5)",0,100,8,8.0,,
1,"[5,10)",1,61,4,6.56,,
1,"[10,15)",2,43,3,6.98,,
1,"[15,20)",3,41,1,2.44,,
1,"[20,30)",4,78,5,6.41,,
1,"[30,50)",5,225,12,5.33,,
1,"[50,inf)",6,149,12,8.05,,
2,"[0,5)",0,113,8,7.08,,
2,"[5,10)",1,60,5,8.33,,
2,"[10,15)",2,44,3,6.82,,
2,"[15,20)",3,41,2,4.88,,
2,"[20,30)",4,101,5,4.95,,
2,"[30,50)",5,201,10,4.98,,
2,"[50,inf)",6,152,11,7.24,,
3,"[0,5)",0,109,7,6.42,,
3,"[5,10)",1,57,4,7.02,,
3,"[10,15)",2,47,2,4.26,,
3,"[15,20)",3,48,3,6.25,,
3,"[20,30)",4,76,5,6.58,,
3,"[30,50)",5,212,21,9.91,,
3,"[50,inf)",6,155,16,10.32,,
pooled,"[0,5)",0,322,23,7.14,4.66,10.25
pooled,"[5,10)",1,178,13,7.3,3.93,11.24
pooled,"[10,15)",2,134,8,5.97,2.24,10.45
pooled,"[15,20)",3,130,6,4.62,1.54,8.46
pooled,"[20,30)",4,255,15,5.88,3.14,9.02
pooled,"[30,50)",5,638,43,6.74,4.7,8.78
pooled,"[50,inf)",6,456,39,8.55,6.14,10.96
