frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,6,238000000,6.238000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,False,100.00,True,0.0,0.0,0.0,0.00
1,6,271000000,6.271000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0625,2,False,100.00,True,0.0,0.0,0.0,0.00
2,6,304000000,6.304000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0522,5.2712,3,False,100.00,True,0.0,0.0,0.0,0.00
3,6,337000000,6.337000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0112,0.7622,4,False,100.00,True,0.0,0.0,0.0,0.00
4,6,370000000,6.370000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0634,2.1320,5,False,100.00,True,0.0,0.0,0.0,0.00
5,6,403000000,6.403000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,3,0.0015,1.0000,0.0149,0.8423,6,False,100.00,True,0.0,0.0,0.0,0.00
6,6,436000000,6.436000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0102,0.8526,7,False,100.00,True,0.0,0.0,0.0,0.00
7,6,469000000,6.469000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0001,0.0069,8,False,100.00,True,0.0,0.0,0.0,0.00
8,6,502000000,6.502000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0001,9,False,100.00,True,0.0,0.0,0.0,0.00
9,6,535000000,6.535000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0198,8.2563,10,True,100.00,True,0.0,0.0,0.0,0.00
10,6,568000000,6.568000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0004,0.0627,11,True,100.00,True,0.0,0.0,0.0,0.00
11,6,601000000,6.601000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0532,7.6053,12,True,100.00,True,0.0,0.0,0.0,0.00
12,6,634000000,6.634000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0113,0.7607,13,True,100.00,True,0.0,0.0,0.0,0.00
13,6,667000000,6.667000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0633,2.0989,14,True,100.00,True,0.0,0.0,0.0,0.00
14,6,700000000,6.700000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,3,0.0015,1.0000,0.0148,0.8431,15,True,100.00,True,0.0,0.0,0.0,0.00
