frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,60,756000000,60.756000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0,0.0,0.0,0.00
1,60,788000000,60.788000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
2,60,820000000,60.820000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
3,60,856000000,60.856000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
4,60,888000000,60.888000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
5,60,920000000,60.920000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
6,60,952000000,60.952000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
7,60,988000000,60.988000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
8,61,20000000,61.020000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
9,61,52000000,61.052000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
10,61,84000000,61.084000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
11,61,120000000,61.120000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
12,61,152000000,61.152000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
13,61,184000000,61.184000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
14,61,216000000,61.216000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
15,61,252000000,61.252000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
16,61,284000000,61.284000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
17,61,316000000,61.316000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
18,61,348000000,61.348000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
19,61,384000000,61.384000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
20,61,416000000,61.416000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
21,61,448000000,61.448000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
22,61,480000000,61.480000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
23,61,516000000,61.516000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
24,61,548000000,61.548000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
25,61,580000000,61.580000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
26,61,612000000,61.612000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
27,61,648000000,61.648000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
28,61,680000000,61.680000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
29,61,712000000,61.712000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
30,61,744000000,61.744000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
31,61,780000000,61.780000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
32,61,812000000,61.812000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
33,61,844000000,61.844000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
34,61,876000000,61.876000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
35,61,912000000,61.912000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
36,61,944000000,61.944000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
37,61,976000000,61.976000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
38,62,8000000,62.008000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
39,62,44000000,62.044000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
40,62,76000000,62.076000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
41,62,108000000,62.108000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
42,62,140000000,62.140000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
43,62,176000000,62.176000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
44,62,208000000,62.208000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
45,62,240000000,62.240000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
46,62,272000000,62.272000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
47,62,308000000,62.308000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
48,62,340000000,62.340000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
49,62,372000000,62.372000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
50,62,404000000,62.404000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
51,62,440000000,62.440000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
52,62,472000000,62.472000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
53,62,504000000,62.504000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
54,62,536000000,62.536000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
55,62,572000000,62.572000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
56,62,604000000,62.604000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
57,62,636000000,62.636000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
58,62,668000000,62.668000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
59,62,704000000,62.704000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
60,62,736000000,62.736000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
61,62,768000000,62.768000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
62,62,800000000,62.800000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
63,62,836000000,62.836000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
64,62,868000000,62.868000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
65,62,900000000,62.900000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
66,62,932000000,62.932000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
67,62,968000000,62.968000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
68,63,0,63.000000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
69,63,32000000,63.032000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
70,63,64000000,63.064000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
71,63,100000000,63.100000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
72,63,132000000,63.132000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
73,63,164000000,63.164000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
74,63,196000000,63.196000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
75,63,232000000,63.232000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
76,63,264000000,63.264000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
77,63,296000000,63.296000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
78,63,328000000,63.328000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
79,63,364000000,63.364000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
80,63,396000000,63.396000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
81,63,428000000,63.428000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
82,63,460000000,63.460000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
83,63,496000000,63.496000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
84,63,528000000,63.528000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
85,63,560000000,63.560000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
86,63,592000000,63.592000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
87,63,628000000,63.628000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
88,63,660000000,63.660000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
89,63,692000000,63.692000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
90,63,724000000,63.724000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
91,63,760000000,63.760000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
92,63,792000000,63.792000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
93,63,824000000,63.824000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
94,63,856000000,63.856000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
95,63,892000000,63.892000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
96,63,924000000,63.924000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
97,63,956000000,63.956000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
98,63,988000000,63.988000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
99,64,24000000,64.024000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
100,64,56000000,64.056000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
101,64,88000000,64.088000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
102,64,120000000,64.120000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
103,64,156000000,64.156000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
104,64,188000000,64.188000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
105,64,220000000,64.220000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
