frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,77,188000000,77.188000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0,0.0,0.0,0.00
1,77,224000000,77.224000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
2,77,256000000,77.256000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
3,77,288000000,77.288000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
4,77,320000000,77.320000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
5,77,356000000,77.356000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
6,77,388000000,77.388000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
7,77,452000000,77.452000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
8,77,520000000,77.520000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
9,77,584000000,77.584000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
10,77,652000000,77.652000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
11,77,716000000,77.716000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
12,77,784000000,77.784000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
13,77,816000000,77.816000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
14,77,916000000,77.916000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
15,77,980000000,77.980000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
16,78,16000000,78.016000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
17,78,48000000,78.048000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
18,78,80000000,78.080000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
19,78,112000000,78.112000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
20,78,180000000,78.180000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
21,78,244000000,78.244000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
22,78,312000000,78.312000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
