timestamp_total_sec,maneuver_state,maneuver_time_sec,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,cmd_q_w,cmd_q_x,cmd_q_y,cmd_q_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,pos_error_x,pos_error_y,pos_error_z,telem_age_sec
1788541763.399100,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0130,-0.0077,0.0222,0.0094,0.0145,0.0037,-0.0130,-0.0077,-2.4778,-0.0036
1788541763.422994,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0135,0.0038,0.0225,0.0079,0.0199,0.0036,-0.0135,0.0038,-2.4775,-0.0006
1788541763.443979,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0135,0.0038,0.0225,0.0079,0.0199,0.0036,-0.0135,0.0038,-2.4775,-0.0005
1788541763.464693,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0134,0.0047,0.0228,0.0079,0.0201,0.0038,-0.0134,0.0047,-2.4772,-0.0009
1788541763.485821,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0134,0.0047,0.0228,0.0079,0.0201,0.0038,-0.0134,0.0047,-2.4772,-0.0006
1788541763.506795,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0132,0.0058,0.0233,0.0081,0.0205,0.0040,-0.0132,0.0058,-2.4767,-0.0004
1788541763.527407,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0129,0.0067,0.0237,0.0084,0.0207,0.0043,-0.0129,0.0067,-2.4763,-0.0003
1788541763.547894,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0129,0.0067,0.0237,0.0084,0.0207,0.0043,-0.0129,0.0067,-2.4763,-0.0003
1788541763.569160,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0126,0.0076,0.0242,0.0088,0.0208,0.0045,-0.0126,0.0076,-2.4758,-0.0009
1788541763.590359,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0123,0.0084,0.0247,0.0091,0.0207,0.0047,-0.0123,0.0084,-2.4753,-0.0003
1788541763.610842,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0123,0.0084,0.0247,0.0091,0.0207,0.0047,-0.0123,0.0084,-2.4753,-0.0005
1788541763.631587,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0121,0.0092,0.0251,0.0093,0.0208,0.0048,-0.0121,0.0092,-2.4749,-0.0004
1788541763.652178,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0118,0.0099,0.0254,0.0095,0.0209,0.0049,-0.0118,0.0099,-2.4746,-0.0008
1788541763.673633,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0118,0.0099,0.0254,0.0095,0.0209,0.0049,-0.0118,0.0099,-2.4746,-0.0008
1788541763.694635,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0115,0.0106,0.0255,0.0098,0.0207,0.0047,-0.0115,0.0106,-2.4745,-0.0003
1788541763.715189,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0115,0.0106,0.0255,0.0098,0.0207,0.0047,-0.0115,0.0106,-2.4745,-0.0003
1788541763.736103,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0112,0.0111,0.0256,0.0101,0.0205,0.0047,-0.0112,0.0111,-2.4744,-0.0014
1788541763.757751,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0109,0.0114,0.0257,0.0103,0.0203,0.0047,-0.0109,0.0114,-2.4743,-0.0003
1788541763.778423,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0109,0.0114,0.0257,0.0103,0.0203,0.0047,-0.0109,0.0114,-2.4743,-0.0003
1788541763.798918,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0106,0.0117,0.0258,0.0105,0.0199,0.0047,-0.0106,0.0117,-2.4742,-0.0004
1788541763.819453,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0106,0.0117,0.0258,0.0105,0.0199,0.0047,-0.0106,0.0117,-2.4742,-0.0003
1788541763.840011,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0104,0.0120,0.0258,0.0107,0.0197,0.0047,-0.0104,0.0120,-2.4742,-0.0006
1788541763.860879,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0102,0.0121,0.0258,0.0108,0.0193,0.0046,-0.0102,0.0121,-2.4742,-0.0007
1788541763.882011,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0102,0.0121,0.0258,0.0108,0.0193,0.0046,-0.0102,0.0121,-2.4742,-0.0003
1788541763.902508,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0101,0.0123,0.0258,0.0107,0.0188,0.0045,-0.0101,0.0123,-2.4742,-0.0003
1788541763.923004,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0101,0.0125,0.0257,0.0104,0.0186,0.0044,-0.0101,0.0125,-2.4743,-0.0003
1788541763.943577,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0101,0.0125,0.0257,0.0104,0.0186,0.0044,-0.0101,0.0125,-2.4743,-0.0005
1788541763.964556,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0102,0.0125,0.0257,0.0101,0.0183,0.0044,-0.0102,0.0125,-2.4743,-0.0007
1788541763.985431,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0102,0.0125,0.0257,0.0101,0.0183,0.0044,-0.0102,0.0125,-2.4743,-0.0005
1788541764.006213,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0103,0.0125,0.0256,0.0097,0.0179,0.0042,-0.0103,0.0125,-2.4744,-0.0005
1788541764.026926,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0103,0.0124,0.0253,0.0095,0.0174,0.0041,-0.0103,0.0124,-2.4747,-0.0005
1788541764.047629,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0103,0.0124,0.0253,0.0095,0.0174,0.0041,-0.0103,0.0124,-2.4747,-0.0007
1788541764.068619,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0104,0.0122,0.0250,0.0092,0.0169,0.0041,-0.0104,0.0122,-2.4750,-0.0010
1788541764.089857,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0105,0.0119,0.0246,0.0090,0.0162,0.0038,-0.0105,0.0119,-2.4754,-0.0004
1788541764.110476,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0105,0.0119,0.0246,0.0090,0.0162,0.0038,-0.0105,0.0119,-2.4754,-0.0003
1788541764.131023,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0106,0.0115,0.0241,0.0088,0.0154,0.0036,-0.0106,0.0115,-2.4759,-0.0005
1788541764.151692,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0107,0.0111,0.0236,0.0085,0.0148,0.0033,-0.0107,0.0111,-2.4764,-0.0012
1788541764.174846,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0107,0.0111,0.0236,0.0085,0.0148,0.0033,-0.0107,0.0111,-2.4764,-0.0004
1788541764.195466,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0109,0.0107,0.0229,0.0085,0.0141,0.0029,-0.0109,0.0107,-2.4771,-0.0006
1788541764.216344,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0109,0.0107,0.0229,0.0085,0.0141,0.0029,-0.0109,0.0107,-2.4771,-0.0005
1788541764.237115,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0110,0.0102,0.0222,0.0082,0.0133,0.0025,-0.0110,0.0102,-2.4778,-0.0004
1788541764.257789,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0110,0.0096,0.0213,0.0081,0.0125,0.0021,-0.0110,0.0096,-2.4787,-0.0004
1788541764.278730,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0110,0.0096,0.0213,0.0081,0.0125,0.0021,-0.0110,0.0096,-2.4787,-0.0004
1788541764.299275,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0110,0.0087,0.0201,0.0081,0.0114,0.0014,-0.0110,0.0087,-2.4799,-0.0005
1788541764.320045,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0109,0.0080,0.0192,0.0082,0.0105,0.0010,-0.0109,0.0080,-2.4808,-0.0005
1788541764.340784,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,-0.0109,0.0080,0.0192,0.0082,0.0105,0.0010,-0.0109,0.0080,-2.4808,-0.0004
