frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,num_inliers_H,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,mean_lk_err,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,6,340000000,6.340000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1,False,100.00,True,0.0,0.0,0.0,0.00
1,6,372000000,6.372000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0016,0.0239,0.0185,2,False,100.00,True,0.0,0.0,0.0,0.00
2,6,404000000,6.404000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0014,0.0440,0.0148,3,False,100.00,True,0.0,0.0,0.0,0.00
3,6,436000000,6.436000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0015,0.0283,0.0171,4,False,100.00,True,0.0,0.0,0.0,0.00
4,6,472000000,6.472000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0026,0.3967,0.0238,5,False,100.00,True,0.0,0.0,0.0,0.00
5,6,504000000,6.504000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0013,0.0249,0.0146,6,False,100.00,True,0.0,0.0,0.0,0.00
6,6,536000000,6.536000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0008,0.0164,0.0113,7,False,100.00,True,0.0,0.0,0.0,0.00
7,6,568000000,6.568000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0027,0.1664,0.0366,8,False,100.00,True,0.0,0.0,0.0,0.00
8,6,604000000,6.604000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0017,0.0406,0.0193,9,False,100.00,True,0.0,0.0,0.0,0.00
9,6,636000000,6.636000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0014,0.1237,0.0160,10,True,100.00,True,0.0,0.0,0.0,0.00
10,6,668000000,6.668000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0007,0.0410,0.0075,11,True,100.00,True,0.0,0.0,0.0,0.00
11,6,700000000,6.700000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0157,0.2595,0.1012,12,True,100.00,True,0.0,0.0,0.0,0.00
12,6,736000000,6.736000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0031,0.1797,0.0381,13,True,100.00,True,0.0,0.0,0.0,0.00
13,6,768000000,6.768000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0013,0.0275,0.0146,14,True,100.00,True,0.0,0.0,0.0,0.00
14,6,800000000,6.800000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0009,0.0440,0.0097,15,True,100.00,True,0.0,0.0,0.0,0.00
15,6,832000000,6.832000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0013,0.0125,0.0139,16,True,100.00,True,0.0,0.0,0.0,0.00
16,6,868000000,6.868000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0016,0.0164,0.0182,17,True,100.00,True,0.0,0.0,0.0,0.00
17,6,900000000,6.900000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0019,0.0176,0.0249,18,True,100.00,True,0.0,0.0,0.0,0.00
18,6,932000000,6.932000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0016,0.0552,0.0180,19,True,100.00,True,0.0,0.0,0.0,0.00
19,6,964000000,6.964000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0010,0.0301,0.0109,20,True,100.00,True,0.0,0.0,0.0,0.00
20,7,0,7.000000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0012,0.0318,0.0136,21,True,100.00,True,0.0,0.0,0.0,0.00
21,7,32000000,7.032000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0014,0.0261,0.0156,22,True,100.00,True,0.0,0.0,0.0,0.00
22,7,64000000,7.064000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0020,0.0421,0.0254,23,True,100.00,True,0.0,0.0,0.0,0.00
23,7,96000000,7.096000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0011,0.0223,0.0144,24,True,100.00,True,0.0,0.0,0.0,0.00
24,7,132000000,7.132000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0015,0.0318,0.0153,25,True,100.00,True,0.0,0.0,0.0,0.00
25,7,164000000,7.164000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0014,0.0151,0.0165,26,True,100.00,True,0.0,0.0,0.0,0.00
26,7,196000000,7.196000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0008,0.0302,0.0082,27,True,100.00,True,0.0,0.0,0.0,0.00
27,7,228000000,7.228000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0009,0.0268,0.0096,28,True,100.00,True,0.0,0.0,0.0,0.00
28,7,264000000,7.264000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0006,0.0280,0.0061,29,True,100.00,True,0.0,0.0,0.0,0.00
29,7,296000000,7.296000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0017,0.0347,0.0211,30,True,100.00,True,0.0,0.0,0.0,0.00
30,7,328000000,7.328000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0006,0.0208,0.0081,31,True,100.00,True,0.0,0.0,0.0,0.00
31,7,360000000,7.360000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0011,0.0315,0.0120,32,True,100.00,True,0.0,0.0,0.0,0.00
32,7,396000000,7.396000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0016,0.1611,0.0198,33,True,100.00,True,0.0,0.0,0.0,0.00
33,7,428000000,7.428000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0005,0.0150,0.0056,34,True,100.00,True,0.0,0.0,0.0,0.00
34,7,460000000,7.460000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0005,0.0081,0.0063,35,True,100.00,True,0.0,0.0,0.0,0.00
35,7,492000000,7.492000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0003,0.0438,0.0036,36,True,100.00,True,0.0,0.0,0.0,0.00
36,7,528000000,7.528000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0003,0.0173,0.0034,37,True,100.00,True,0.0,0.0,0.0,0.00
37,7,560000000,7.560000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0009,0.0279,0.0097,38,True,100.00,True,0.0,0.0,0.0,0.00
38,7,592000000,7.592000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0189,0.0007,39,True,100.00,True,0.0,0.0,0.0,0.00
39,7,624000000,7.624000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0201,0.0016,40,True,100.00,True,0.0,0.0,0.0,0.00
40,7,660000000,7.660000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0002,0.0132,0.0015,41,True,100.00,True,0.0,0.0,0.0,0.00
41,7,692000000,7.692000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0134,0.0011,42,True,100.00,True,0.0,0.0,0.0,0.00
42,7,724000000,7.724000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0008,0.0243,0.0087,43,True,100.00,True,0.0,0.0,0.0,0.00
43,7,756000000,7.756000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0005,0.0189,0.0064,44,True,100.00,True,0.0,0.0,0.0,0.00
44,7,792000000,7.792000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0007,0.0302,0.0104,45,True,100.00,True,0.0,0.0,0.0,0.00
45,7,824000000,7.824000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0064,0.0009,46,True,100.00,True,0.0,0.0,0.0,0.00
46,7,856000000,7.856000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0061,0.0003,47,True,100.00,True,0.0,0.0,0.0,0.00
47,7,888000000,7.888000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0026,0.0001,48,True,100.00,True,0.0,0.0,0.0,0.00
48,7,924000000,7.924000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0079,0.0011,49,True,100.00,True,0.0,0.0,0.0,0.00
49,7,956000000,7.956000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0003,0.0148,0.0039,50,True,100.00,True,0.0,0.0,0.0,0.00
50,7,988000000,7.988000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0007,0.0243,0.0084,51,True,100.00,True,0.0,0.0,0.0,0.00
51,8,20000000,8.020000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0005,0.0095,0.0061,52,True,100.00,True,0.0,0.0,0.0,0.00
52,8,56000000,8.056000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0025,0.0001,53,True,100.00,True,0.0,0.0,0.0,0.00
53,8,88000000,8.088000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0002,0.0101,0.0014,54,True,100.00,True,0.0,0.0,0.0,0.00
54,8,120000000,8.120000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0138,0.0003,55,True,100.00,True,0.0,0.0,0.0,0.00
55,8,152000000,8.152000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0002,0.0175,0.0014,56,True,100.00,True,0.0,0.0,0.0,0.00
56,8,188000000,8.188000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0002,0.0088,0.0026,57,True,100.00,True,0.0,0.0,0.0,0.00
57,8,220000000,8.220000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0016,0.0000,58,True,100.00,True,0.0,0.0,0.0,0.00
58,8,252000000,8.252000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0012,0.0000,59,True,100.00,True,0.0,0.0,0.0,0.00
59,8,284000000,8.284000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0037,0.0000,60,True,100.00,True,0.0,0.0,0.0,0.00
60,8,320000000,8.320000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0127,0.0011,61,True,100.00,True,0.0,0.0,0.0,0.00
61,8,352000000,8.352000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0032,0.0002,62,True,100.00,True,0.0,0.0,0.0,0.00
62,8,384000000,8.384000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0073,0.0007,63,True,100.00,True,0.0,0.0,0.0,0.00
63,8,416000000,8.416000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0014,0.0005,64,True,100.00,True,0.0,0.0,0.0,0.00
64,8,452000000,8.452000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0032,0.0001,65,True,100.00,True,0.0,0.0,0.0,0.00
65,8,484000000,8.484000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0064,0.0001,66,True,100.00,True,0.0,0.0,0.0,0.00
66,8,516000000,8.516000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0089,0.0001,67,True,100.00,True,0.0,0.0,0.0,0.00
67,8,548000000,8.548000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0144,0.0001,68,True,100.00,True,0.0,0.0,0.0,0.00
68,8,584000000,8.584000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0006,0.0000,69,True,100.00,True,0.0,0.0,0.0,0.00
69,8,616000000,8.616000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,70,True,100.00,True,0.0,0.0,0.0,0.00
70,8,648000000,8.648000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0084,0.0001,71,True,100.00,True,0.0,0.0,0.0,0.00
71,8,680000000,8.680000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,72,True,100.00,True,0.0,0.0,0.0,0.00
72,8,716000000,8.716000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0012,0.0003,73,True,100.00,True,0.0,0.0,0.0,0.00
73,8,748000000,8.748000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0137,0.0001,74,True,100.00,True,0.0,0.0,0.0,0.00
74,8,780000000,8.780000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,75,True,100.00,True,0.0,0.0,0.0,0.00
75,8,812000000,8.812000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,76,True,100.00,True,0.0,0.0,0.0,0.00
76,8,848000000,8.848000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0010,0.0000,77,True,100.00,True,0.0,0.0,0.0,0.00
77,8,880000000,8.880000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,78,True,100.00,True,0.0,0.0,0.0,0.00
78,8,912000000,8.912000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0055,0.0004,79,True,100.00,True,0.0,0.0,0.0,0.00
79,8,944000000,8.944000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,80,True,100.00,True,0.0,0.0,0.0,0.00
80,8,980000000,8.980000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,81,True,100.00,True,0.0,0.0,0.0,0.00
81,9,12000000,9.012000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,82,True,100.00,True,0.0,0.0,0.0,0.00
82,9,44000000,9.044000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0001,0.0086,0.0009,83,True,100.00,True,0.0,0.0,0.0,0.00
83,9,76000000,9.076000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,84,True,100.00,True,0.0,0.0,0.0,0.00
84,9,112000000,9.112000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,85,True,100.00,True,0.0,0.0,0.0,0.00
85,9,144000000,9.144000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,86,True,100.00,True,0.0,0.0,0.0,0.00
86,9,176000000,9.176000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0016,0.0000,87,True,100.00,True,0.0,0.0,0.0,0.00
87,9,208000000,9.208000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,88,True,100.00,True,0.0,0.0,0.0,0.00
88,9,244000000,9.244000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,2000,0.0000,1.0000,0.0000,0.0000,0.0000,89,True,100.00,True,0.0,0.0,0.0,0.00
