sample_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
0,1788537250,492466076,1788537250.492465973,19.0000000000000000,-15.0000000000000000,-14.1377199168000924,0.0000000000000002,-0.0000000000000013,-0.0000000000000000,1.0000000000000000
1,1788537250,642739482,1788537250.642739534,19.0000000000000000,-15.0000000000000000,-14.4750669568000951,0.0000000000000002,-0.0000000000000013,-0.0000000000000000,1.0000000000000000
2,1788537250,696037937,1788537250.696038008,19.0000000000000000,-15.0000000000000000,-14.7477688896000974,0.0000000000000002,-0.0000000000000014,-0.0000000000000000,1.0000000000000000
3,1788537250,820983923,1788537250.820983887,19.0000000000000000,-15.0000000000000000,-10.5692158560000635,0.0000000000000002,-0.0000000000000010,-0.0000000000000000,1.0000000000000000
4,1788537250,844005904,1788537250.844005823,19.0000000000000000,-15.0000000000000000,-15.0229813120001001,0.0000000000000003,-0.0000000000000014,-0.0000000000000000,1.0000000000000000
5,1788537250,955728343,1788537250.955728292,19.0000000000000000,-15.0000000000000000,-15.3007042240001017,0.0000000000000003,-0.0000000000000014,-0.0000000000000000,1.0000000000000000
6,1788537251,41302481,1788537251.041302443,19.0000000000000000,-15.0000000000000000,-15.6513882400001059,0.0000000000000003,-0.0000000000000014,-0.0000000000000000,1.0000000000000000
7,1788537251,173338890,1788537251.173338890,19.0000000000000000,-15.0000000000000000,-15.9347597536001082,0.0000000000000003,-0.0000000000000015,-0.0000000000000000,1.0000000000000000
8,1788537251,174587601,1788537251.174587488,19.0000000000000000,-15.0000000000000000,-16.2925045216001116,0.0000000000000003,-0.0000000000000015,-0.0000000000000000,1.0000000000000000
9,1788537251,221493623,1788537251.221493721,19.0000000000000000,-15.0000000000000000,-16.6541719296001141,0.0000000000000003,-0.0000000000000015,-0.0000000000000000,1.0000000000000000
10,1788537251,317841592,1788537251.317841530,19.0000000000000000,-15.0000000000000000,-17.0197619776001154,0.0000000000000003,-0.0000000000000016,-0.0000000000000000,1.0000000000000000
11,1788537251,422773410,1788537251.422773361,19.0000000000000000,-15.0000000000000000,-17.3892746656001194,0.0000000000000003,-0.0000000000000016,-0.0000000000000000,1.0000000000000000
12,1788537251,514585705,1788537251.514585733,19.0000000000000000,-15.0000000000000000,-17.7627099936001223,0.0000000000000003,-0.0000000000000016,-0.0000000000000000,1.0000000000000000
13,1788537251,573966856,1788537251.573966742,19.0000000000000000,-15.0000000000000000,-18.1400679616001277,0.0000000000000003,-0.0000000000000017,-0.0000000000000000,1.0000000000000000
14,1788537251,649424156,1788537251.649424076,19.0000000000000000,-15.0000000000000000,-18.4447786368001303,0.0000000000000003,-0.0000000000000017,-0.0000000000000000,1.0000000000000000
15,1788537251,711354713,1788537251.711354733,19.0000000000000000,-15.0000000000000000,-18.8291973568001332,0.0000000000000003,-0.0000000000000017,-0.0000000000000000,1.0000000000000000
16,1788537251,837063288,1788537251.837063313,19.0000000000000000,-15.0000000000000000,-19.1395566336001366,0.0000000000000003,-0.0000000000000018,-0.0000000000000000,1.0000000000000000
17,1788537251,976377239,1788537251.976377249,19.0000000000000000,-15.0000000000000000,-19.5310361056001405,0.0000000000000003,-0.0000000000000018,-0.0000000000000000,1.0000000000000000
18,1788537252,51792973,1788537252.051792860,19.0000000000000000,-15.0000000000000000,-19.8470439840001411,0.0000000000000003,-0.0000000000000018,-0.0000000000000000,1.0000000000000000
19,1788537252,54603788,1788537252.054603815,19.0000000000000000,-15.0000000000000000,-20.2455842080001460,0.0000000000000003,-0.0000000000000019,-0.0000000000000000,1.0000000000000000
20,1788537252,195487376,1788537252.195487261,19.0000000000000000,-15.0000000000000000,-20.5672406880001475,0.0000000000000003,-0.0000000000000019,-0.0000000000000000,1.0000000000000000
21,1788537252,285020163,1788537252.285020113,19.0000000000000000,-15.0000000000000000,-20.9728416640001534,0.0000000000000003,-0.0000000000000019,-0.0000000000000000,1.0000000000000000
22,1788537252,425447530,1788537252.425447464,19.0000000000000000,-15.0000000000000000,-21.3823652800001547,0.0000000000000004,-0.0000000000000020,-0.0000000000000000,1.0000000000000000
23,1788537252,506648929,1788537252.506649017,19.0000000000000000,-15.0000000000000000,-21.7958115360001585,0.0000000000000004,-0.0000000000000020,-0.0000000000000000,1.0000000000000000
24,1788537252,518737516,1788537252.518737555,19.0000000000000000,-15.0000000000000000,-10.8618448000000658,0.0000000000000002,-0.0000000000000010,-0.0000000000000000,1.0000000000000000
25,1788537252,520103315,1788537252.520103216,19.0000000000000000,-15.0000000000000000,-11.1583963840000688,0.0000000000000002,-0.0000000000000010,-0.0000000000000000,1.0000000000000000
26,1788537252,521756463,1788537252.521756411,19.0000000000000000,-15.0000000000000000,-11.3984619520000710,0.0000000000000002,-0.0000000000000010,-0.0000000000000000,1.0000000000000000
27,1788537252,523089951,1788537252.523089886,19.0000000000000000,-15.0000000000000000,-11.7020742880000732,0.0000000000000002,-0.0000000000000011,-0.0000000000000000,1.0000000000000000
28,1788537252,523995744,1788537252.523995638,19.0000000000000000,-15.0000000000000000,-12.0096092640000762,0.0000000000000002,-0.0000000000000011,-0.0000000000000000,1.0000000000000000
29,1788537252,524662711,1788537252.524662733,19.0000000000000000,-15.0000000000000000,-12.2584615456000776,0.0000000000000002,-0.0000000000000011,-0.0000000000000000,1.0000000000000000
