timestamp_total_sec,maneuver_state,maneuver_time_sec,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,cmd_q_w,cmd_q_x,cmd_q_y,cmd_q_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,pos_error_x,pos_error_y,pos_error_z,telem_age_sec
1788544621.644356,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0022,-0.0005,0.0768,-0.0014,-0.0096,0.0084,-14.0483,7.5224,-2.3308,-0.0070
1788544621.671499,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0041,-0.0061,0.0853,-0.0015,-0.0128,0.0121,-14.0464,7.5168,-2.3223,-0.0009
1788544621.692569,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0045,-0.0065,0.0866,-0.0013,-0.0130,0.0126,-14.0460,7.5164,-2.3210,-0.0005
1788544621.713240,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0045,-0.0065,0.0866,-0.0013,-0.0130,0.0126,-14.0460,7.5164,-2.3210,-0.0008
1788544621.734339,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0049,-0.0070,0.0879,-0.0012,-0.0131,0.0130,-14.0456,7.5159,-2.3197,-0.0004
1788544621.754934,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0055,-0.0075,0.0890,-0.0010,-0.0132,0.0136,-14.0450,7.5154,-2.3186,-0.0004
1788544621.775781,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0055,-0.0075,0.0890,-0.0010,-0.0132,0.0136,-14.0450,7.5154,-2.3186,-0.0003
1788544621.796381,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0062,-0.0079,0.0901,-0.0007,-0.0132,0.0142,-14.0443,7.5150,-2.3175,-0.0008
1788544621.817541,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0062,-0.0079,0.0901,-0.0007,-0.0132,0.0142,-14.0443,7.5150,-2.3175,-0.0004
1788544621.838239,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0069,-0.0083,0.0912,-0.0003,-0.0132,0.0144,-14.0436,7.5146,-2.3164,-0.0010
1788544621.859513,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0078,-0.0086,0.0920,0.0002,-0.0132,0.0147,-14.0427,7.5143,-2.3156,-0.0009
1788544621.880721,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0078,-0.0086,0.0920,0.0002,-0.0132,0.0147,-14.0427,7.5143,-2.3156,-0.0003
1788544621.901161,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0090,-0.0089,0.0929,0.0009,-0.0131,0.0150,-14.0415,7.5140,-2.3147,-0.0003
1788544621.921678,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0090,-0.0089,0.0929,0.0009,-0.0131,0.0150,-14.0415,7.5140,-2.3147,-0.0007
1788544621.942636,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0100,-0.0091,0.0935,0.0016,-0.0129,0.0151,-14.0405,7.5138,-2.3141,-0.0003
1788544621.963134,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0112,-0.0091,0.0939,0.0025,-0.0128,0.0149,-14.0393,7.5138,-2.3137,-0.0008
1788544621.984699,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0112,-0.0091,0.0939,0.0025,-0.0128,0.0149,-14.0393,7.5138,-2.3137,-0.0007
1788544622.005686,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0124,-0.0091,0.0942,0.0032,-0.0127,0.0149,-14.0381,7.5138,-2.3134,-0.0003
1788544622.026289,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0124,-0.0091,0.0942,0.0032,-0.0127,0.0149,-14.0381,7.5138,-2.3134,-0.0008
1788544622.047405,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0136,-0.0090,0.0943,0.0041,-0.0125,0.0146,-14.0369,7.5139,-2.3133,-0.0003
1788544622.068040,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0150,-0.0089,0.0942,0.0049,-0.0122,0.0143,-14.0355,7.5140,-2.3134,-0.0014
1788544622.089673,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0150,-0.0089,0.0942,0.0049,-0.0122,0.0143,-14.0355,7.5140,-2.3134,-0.0004
1788544622.110235,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0160,-0.0087,0.0941,0.0055,-0.0119,0.0141,-14.0345,7.5142,-2.3135,-0.0005
1788544622.130993,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0169,-0.0085,0.0939,0.0059,-0.0118,0.0137,-14.0336,7.5144,-2.3137,-0.0004
1788544622.151711,CLIMB,0.000,0.00,0.00,0.00,0.65,1.0,0.0,0.0,0.0,0.0169,-0.0085,0.0939,0.0059,-0.0118,0.0137,-14.0336,7.5144,-2.3137,-0.0004
