frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,46,600000000,46.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0,-0.0,-0.0,-0.0,0.0
1,46,632000000,46.632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
2,46,664000000,46.664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
3,46,696000000,46.696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
4,46,732000000,46.732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
5,46,764000000,46.764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
6,46,796000000,46.796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
7,46,828000000,46.828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
8,46,864000000,46.864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
9,46,896000000,46.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
10,46,928000000,46.928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
11,46,960000000,46.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
12,46,996000000,46.996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
13,47,60000000,47.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
14,47,92000000,47.092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
15,47,160000000,47.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
16,47,192000000,47.192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
17,47,260000000,47.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
18,47,324000000,47.324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
19,47,356000000,47.356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
20,47,392000000,47.392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
21,47,456000000,47.456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
22,47,524000000,47.524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
23,47,556000000,47.556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
24,47,620000000,47.62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
25,47,656000000,47.656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
26,47,688000000,47.688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
27,47,752000000,47.752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
28,47,788000000,47.788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
29,47,852000000,47.852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
30,47,884000000,47.884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
31,47,920000000,47.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
32,47,952000000,47.952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0,-0.0,-0.0,-0.0,0.0
