frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,7,360000000,7.360000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0000,0.0000,0.0000,1,False,0.0,0.0,0.0,0.00
1,7,396000000,7.396000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0026,0.0092,2,False,0.0,0.0,0.0,0.00
2,7,428000000,7.428000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0134,3,False,0.0,0.0,0.0,0.00
3,7,460000000,7.460000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0143,4,False,0.0,0.0,0.0,0.00
4,7,492000000,7.492000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0026,0.0090,5,False,0.0,0.0,0.0,0.00
5,7,528000000,7.528000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0239,6,False,0.0,0.0,0.0,0.00
6,7,560000000,7.560000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0084,7,False,0.0,0.0,0.0,0.00
7,7,592000000,7.592000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0037,0.0111,8,False,0.0,0.0,0.0,0.00
8,7,624000000,7.624000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0022,0.0092,9,False,0.0,0.0,0.0,0.00
9,7,660000000,7.660000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0060,10,True,0.0,0.0,0.0,0.00
10,7,692000000,7.692000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0019,0.0105,11,True,0.0,0.0,0.0,0.00
11,7,724000000,7.724000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0026,0.0175,12,True,0.0,0.0,0.0,0.00
12,7,756000000,7.756000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0029,0.0191,13,True,0.0,0.0,0.0,0.00
13,7,792000000,7.792000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0019,0.0158,14,True,0.0,0.0,0.0,0.00
14,7,824000000,7.824000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0025,0.0269,15,True,0.0,0.0,0.0,0.00
15,7,856000000,7.856000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0024,0.0129,16,True,0.0,0.0,0.0,0.00
16,7,888000000,7.888000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0017,0.0231,17,True,0.0,0.0,0.0,0.00
17,7,924000000,7.924000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0027,0.0138,18,True,0.0,0.0,0.0,0.00
