frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,num_inliers_E,num_inliers_pose,num_inliers_H,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,mean_lk_err,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,7,196000000,7.196000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1,False,100.00,True,0.0,0.0,0.0,0.00
1,7,228000000,7.228000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0019,0.0146,0.0152,0,False,50.00,True,0.0,0.0,0.0,0.00
2,7,264000000,7.264000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0026,0.0175,0.0266,0,False,33.33,True,0.0,0.0,0.0,0.00
3,7,296000000,7.296000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0023,0.0170,0.0234,0,False,25.00,True,0.0,0.0,0.0,0.00
4,7,328000000,7.328000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0016,0.0082,0.0155,0,False,20.00,True,0.0,0.0,0.0,0.00
5,7,360000000,7.360000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0026,0.0098,0.0262,0,False,16.67,True,0.0,0.0,0.0,0.00
6,7,396000000,7.396000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0024,0.0134,0.0238,0,False,14.29,True,0.0,0.0,0.0,0.00
7,7,428000000,7.428000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0082,0.0027,0,False,12.50,True,0.0,0.0,0.0,0.00
8,7,460000000,7.460000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0042,0.0141,0.0450,0,False,11.11,True,0.0,0.0,0.0,0.00
9,7,492000000,7.492000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0023,0.0129,0.0230,0,False,10.00,True,0.0,0.0,0.0,0.00
10,7,528000000,7.528000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0243,0.0028,0,False,9.09,True,0.0,0.0,0.0,0.00
11,7,560000000,7.560000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0019,0.0107,0.0177,0,False,8.33,True,0.0,0.0,0.0,0.00
12,7,592000000,7.592000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0040,0.0140,0.0439,0,False,7.69,True,0.0,0.0,0.0,0.00
13,7,624000000,7.624000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0072,0.0027,0,False,7.14,True,0.0,0.0,0.0,0.00
14,7,660000000,7.660000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0019,0.0100,0.0179,0,False,6.67,True,0.0,0.0,0.0,0.00
15,7,692000000,7.692000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0026,0.0144,0.0267,0,False,6.25,True,0.0,0.0,0.0,0.00
16,7,724000000,7.724000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0029,0.0179,0.0296,0,False,5.88,True,0.0,0.0,0.0,0.00
17,7,756000000,7.756000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0017,0.0146,0.0159,0,False,5.56,True,0.0,0.0,0.0,0.00
18,7,792000000,7.792000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0026,0.0135,0.0263,0,False,5.26,True,0.0,0.0,0.0,0.00
19,7,824000000,7.824000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0024,0.0316,0.0235,0,False,5.00,True,0.0,0.0,0.0,0.00
20,7,856000000,7.856000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0203,0.0027,0,False,4.76,True,0.0,0.0,0.0,0.00
21,7,888000000,7.888000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0035,0.0118,0.0371,0,False,4.55,True,0.0,0.0,0.0,0.00
22,7,924000000,7.924000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0023,0.0135,0.0232,0,False,4.35,True,0.0,0.0,0.0,0.00
23,7,956000000,7.956000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0004,0.0126,0.0029,0,False,4.17,True,0.0,0.0,0.0,0.00
24,7,988000000,7.988000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0034,0.0129,0.0360,0,False,4.00,True,0.0,0.0,0.0,0.00
25,8,20000000,8.020000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0028,0.0205,0.0287,0,False,3.85,True,0.0,0.0,0.0,0.00
26,8,56000000,8.056000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0060,0.0027,0,False,3.70,True,0.0,0.0,0.0,0.00
27,8,88000000,8.088000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0018,0.0084,0.0165,0,False,3.57,True,0.0,0.0,0.0,0.00
28,8,120000000,8.120000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0026,0.0124,0.0259,0,False,3.45,True,0.0,0.0,0.0,0.00
29,8,152000000,8.152000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0021,0.0087,0.0214,0,False,3.33,True,0.0,0.0,0.0,0.00
30,8,188000000,8.188000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0018,0.0096,0.0167,0,False,3.23,True,0.0,0.0,0.0,0.00
31,8,220000000,8.220000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0100,0.0255,0,False,3.12,True,0.0,0.0,0.0,0.00
32,8,252000000,8.252000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0098,0.0231,0,False,3.03,True,0.0,0.0,0.0,0.00
33,8,284000000,8.284000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0015,0.0093,0.0148,0,False,2.94,True,0.0,0.0,0.0,0.00
34,8,320000000,8.320000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0032,0.0157,0.0322,0,False,2.86,True,0.0,0.0,0.0,0.00
35,8,352000000,8.352000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0131,0.0225,0,False,2.78,True,0.0,0.0,0.0,0.00
36,8,384000000,8.384000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0119,0.0024,0,False,2.70,True,0.0,0.0,0.0,0.00
37,8,416000000,8.416000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0035,0.0127,0.0370,0,False,2.63,True,0.0,0.0,0.0,0.00
38,8,452000000,8.452000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0023,0.0112,0.0225,0,False,2.56,True,0.0,0.0,0.0,0.00
39,8,484000000,8.484000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0079,0.0025,0,False,2.50,True,0.0,0.0,0.0,0.00
40,8,516000000,8.516000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0017,0.0101,0.0158,0,False,2.44,True,0.0,0.0,0.0,0.00
41,8,548000000,8.548000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0144,0.0250,0,False,2.38,True,0.0,0.0,0.0,0.00
42,8,584000000,8.584000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0026,0.0134,0.0274,0,False,2.33,True,0.0,0.0,0.0,0.00
43,8,616000000,8.616000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,1,2000,1.0000,1.0000,0.0019,0.0160,0.0179,0,False,2.27,True,0.0,0.0,0.0,0.00
44,8,648000000,8.648000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0098,0.0252,0,False,2.22,True,0.0,0.0,0.0,0.00
45,8,680000000,8.680000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0085,0.0220,0,False,2.17,True,0.0,0.0,0.0,0.00
46,8,716000000,8.716000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0018,0.0091,0.0166,0,False,2.13,True,0.0,0.0,0.0,0.00
47,8,748000000,8.748000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0096,0.0252,0,False,2.08,True,0.0,0.0,0.0,0.00
48,8,780000000,8.780000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0090,0.0217,0,False,2.04,True,0.0,0.0,0.0,0.00
49,8,812000000,8.812000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0208,0.0027,0,False,2.00,True,0.0,0.0,0.0,0.00
50,8,848000000,8.848000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0034,0.0122,0.0366,0,False,1.96,True,0.0,0.0,0.0,0.00
51,8,880000000,8.880000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0028,0.0134,0.0284,0,False,1.92,True,0.0,0.0,0.0,0.00
52,8,912000000,8.912000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0084,0.0024,0,False,1.89,True,0.0,0.0,0.0,0.00
53,8,944000000,8.944000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0034,0.0134,0.0368,0,False,1.85,True,0.0,0.0,0.0,0.00
54,8,980000000,8.980000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0085,0.0222,0,False,1.82,True,0.0,0.0,0.0,0.00
55,9,12000000,9.012000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0107,0.0026,0,False,1.79,True,0.0,0.0,0.0,0.00
56,9,44000000,9.044000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0018,0.0095,0.0162,0,False,1.75,True,0.0,0.0,0.0,0.00
57,9,76000000,9.076000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0131,0.0251,0,False,1.72,True,0.0,0.0,0.0,0.00
58,9,112000000,9.112000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0115,0.0220,0,False,1.69,True,0.0,0.0,0.0,0.00
59,9,144000000,9.144000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0017,0.0100,0.0162,0,False,1.67,True,0.0,0.0,0.0,0.00
60,9,176000000,9.176000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0030,0.0154,0.0307,0,False,1.64,True,0.0,0.0,0.0,0.00
61,9,208000000,9.208000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0091,0.0220,0,False,0.00,True,0.0,0.0,0.0,0.00
62,9,244000000,9.244000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0017,0.0107,0.0162,0,False,0.00,True,0.0,0.0,0.0,0.00
63,9,276000000,9.276000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0110,0.0253,0,False,0.00,True,0.0,0.0,0.0,0.00
64,9,308000000,9.308000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0021,0.0088,0.0216,0,False,0.00,True,0.0,0.0,0.0,0.00
65,9,340000000,9.340000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0088,0.0025,0,False,0.00,True,0.0,0.0,0.0,0.00
66,9,376000000,9.376000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0033,0.0100,0.0358,0,False,0.00,True,0.0,0.0,0.0,0.00
67,9,408000000,9.408000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0091,0.0226,0,False,0.00,True,0.0,0.0,0.0,0.00
68,9,440000000,9.440000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0163,0.0028,0,False,0.00,True,0.0,0.0,0.0,0.00
69,9,472000000,9.472000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0022,0.0142,0.0221,0,False,0.00,True,0.0,0.0,0.0,0.00
70,9,508000000,9.508000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0038,0.0150,0.0417,0,False,0.00,True,0.0,0.0,0.0,0.00
71,9,540000000,9.540000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0003,0.0076,0.0024,0,False,0.00,True,0.0,0.0,0.0,0.00
72,9,572000000,9.572000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0017,0.0121,0.0163,0,False,0.00,True,0.0,0.0,0.0,0.00
73,9,604000000,9.604000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0025,0.0108,0.0248,0,False,0.00,True,0.0,0.0,0.0,0.00
74,9,640000000,9.640000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0021,0.0110,0.0216,0,False,0.00,True,0.0,0.0,0.0,0.00
75,9,672000000,9.672000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,2000,2000,0,2000,1.0000,1.0000,0.0017,0.0083,0.0163,0,False,0.00,True,0.0,0.0,0.0,0.00
