cam_frame_idx,cam_timestamp_sec,pose_idx,pose_timestamp_sec,gap_abs_ms,gap_signed_ms,within_tolerance,pos_x,pos_y,pos_z
0,279.480000000,0,279.564000000,84.0000,-84.0000,False,3.99999999981352,0.9999999999836839,-0.013000184162884038
1,279.512000000,0,279.564000000,52.0000,-52.0000,False,3.99999999981352,0.9999999999836839,-0.013000184162884038
2,279.544000000,0,279.564000000,20.0000,-20.0000,False,3.99999999981352,0.9999999999836839,-0.013000184162884038
3,279.580000000,1,279.576000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
4,279.612000000,5,279.612000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
5,279.644000000,8,279.652000000,8.0000,-8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
6,279.676000000,10,279.668000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
7,279.712000000,15,279.708000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
8,279.744000000,18,279.736000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
9,279.776000000,20,279.772000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
10,279.808000000,24,279.800000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
11,279.844000000,29,279.844000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
12,279.876000000,30,279.864000000,12.0000,12.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
13,279.908000000,34,279.896000000,12.0000,12.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
14,279.940000000,38,279.932000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
15,279.976000000,43,279.980000000,4.0000,-4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
16,280.008000000,44,280.000000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
17,280.040000000,48,280.040000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
18,280.072000000,52,280.064000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
19,280.108000000,55,280.116000000,8.0000,-8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
20,280.140000000,58,280.124000000,16.0000,16.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
21,280.172000000,62,280.172000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
22,280.204000000,66,280.200000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
23,280.240000000,68,280.236000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
24,280.272000000,72,280.272000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
25,280.304000000,76,280.304000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
26,280.336000000,78,280.328000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
27,280.372000000,82,280.372000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
28,280.404000000,84,280.396000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
29,280.436000000,88,280.432000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
30,280.468000000,92,280.460000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
31,280.504000000,95,280.492000000,12.0000,12.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
32,280.536000000,100,280.536000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
33,280.568000000,104,280.568000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
34,280.600000000,106,280.596000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
35,280.636000000,110,280.644000000,8.0000,-8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
36,280.668000000,113,280.664000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
37,280.700000000,114,280.684000000,16.0000,16.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
38,280.732000000,120,280.728000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
39,280.768000000,122,280.764000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
40,280.800000000,127,280.800000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
41,280.832000000,130,280.832000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
42,280.864000000,136,280.864000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
43,280.900000000,141,280.904000000,4.0000,-4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
44,280.932000000,142,280.924000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
45,280.964000000,146,280.964000000,0.0000,0.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
46,280.996000000,151,281.000000000,4.0000,-4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
47,281.032000000,152,281.020000000,12.0000,12.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
48,281.064000000,156,281.060000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
49,281.096000000,160,281.088000000,8.0000,8.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
50,281.128000000,162,281.124000000,4.0000,4.0000,True,3.99999999981352,0.9999999999836839,-0.013000184162884038
