frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,647,560000000,647.560000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0,0.0,0.0,0.00
1,647,596000000,647.596000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
2,647,628000000,647.628000000,0.9750842903104907,0.1568871662582155,0.15683444727850407,-0.309963022114366,0.5204750033832021,0.7437289661196148,0.2826586646993753,2000,1122,23,0.0205,0.9750842903104907,0.1568871662582155,0.15683444727850407,147.16
3,648,616000000,648.616000000,0.9750842903104907,0.1568871662582155,0.15683444727850407,-0.309963022114366,0.5204750033832021,0.7437289661196148,0.2826586646993753,2000,0,0,0.0000,0.0,0.0,0.0,0.00
4,648,652000000,648.652000000,0.7827004533900297,1.0958621101426702,0.441991446226358,-0.3104734965725406,0.5203143376884776,0.7436119855021127,0.282701986090348,2000,2000,1753,0.8765,0.0011181599685832053,0.03354843192457109,0.9994364674323661,0.06
5,648,716000000,648.716000000,0.6008581182520053,2.0398200087919376,0.7174489760366902,-0.31141447155983165,0.5201455777202802,0.7433960450397578,0.28254543900122164,1753,1747,977,0.5592,0.0013902095699651704,0.018040930911736593,0.9998362826629115,0.11
6,648,916000000,648.916000000,0.5554593688395647,2.9876658804906366,1.0329282258385097,-0.3269886924697743,0.5448391744115346,0.7159898883223874,0.28911442171493246,977,949,39,0.0411,-0.11834219157180453,-0.06139009411201471,0.9910733484656422,4.65
7,650,332000000,650.332000000,0.5554593688395647,2.9876658804906366,1.0329282258385097,-0.3269886924697743,0.5448391744115346,0.7159898883223874,0.28911442171493246,2000,0,0,0.0000,0.0,0.0,0.0,0.00
8,650,368000000,650.368000000,0.40173207439836167,3.9563707607496856,1.2278096613476148,-0.32695051342422443,0.5448442591869852,0.715979526089252,0.28917367311640163,2000,2000,1603,0.8015,-0.0016048147623307512,0.0019753825505085124,0.999996761211434,0.01
9,650,464000000,650.464000000,0.2186401960818545,4.91474846685599,1.4468748035609587,-0.34087882507096373,0.5414756161059177,0.7158225628791562,0.27964949893406343,1603,1596,322,0.2018,-0.002859622051007789,0.04143973799713909,0.9991369128785373,1.97
10,652,116000000,652.116000000,-0.7673139280110203,4.748051462974502,1.4571982759024946,-0.5307153606115702,-0.2294664678930745,-0.11579575375514711,0.8076371026246163,322,221,8,0.0362,0.5892447630794139,0.8076146245892382,0.02343559969510854,156.97
11,652,940000000,652.940000000,-0.7673139280110203,4.748051462974502,1.4571982759024946,-0.5307153606115702,-0.2294664678930745,-0.11579575375514711,0.8076371026246163,2000,0,0,0.0000,0.0,0.0,0.0,0.00
