frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,rel_tx,rel_ty,rel_tz,rel_rot_deg
0,4840,276000000,4840.276000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,0,0,0.0000,0.0,0.0,0.0,0.00
1,4840,312000000,4840.312000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
2,4840,344000000,4840.344000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
3,4840,376000000,4840.376000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
4,4840,408000000,4840.408000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,0.0,0.0,0.0,0.00
5,4840,444000000,4840.444000000,-0.05419371608047329,-0.062105495854835865,0.9965971846849728,0.0004812605551544606,-0.0009262827728782296,0.0003118350573042573,0.9999994065735237,2000,2000,1723,0.8615,-0.05419371608047329,-0.062105495854835865,0.9965971846849728,0.12
6,4840,476000000,4840.476000000,-0.18145347405624188,-0.028973259886462842,1.9879130823380289,0.001210980851261824,-0.001960900948091406,-0.00071233515913594,0.9999970904815026,1723,1723,1696,0.9843,-0.12540210668633106,0.034165284932551984,0.9915175464630506,0.19
7,4840,508000000,4840.508000000,-0.09749885903175248,-0.07511837607627775,2.9833136302924275,0.0004998289418322643,-0.0007079666859537375,0.0005026748494316157,0.9999994981359721,1696,1696,1677,0.9888,0.08792187981531736,-0.04361212965824933,0.9951722088143401,0.22
8,4840,540000000,4840.540000000,-0.11214609170811718,-0.07855036137945567,3.983200463915014,0.0007373212800801486,-0.0010610289229678208,0.00042172156348540207,0.9999990763625123,1677,1677,1640,0.9779,-0.013234383634719122,-0.002418413323362261,0.9999094970880147,0.05
9,4840,576000000,4840.576000000,-0.021657664412799954,-0.025076333739306247,4.977661309244562,-0.001787088855214527,0.0035927338117680624,0.0003129017349432341,0.9999919003020403,1640,1640,1597,0.9738,0.09264412989408796,0.054863070096742024,0.9941866568887994,0.61
10,4840,608000000,4840.608000000,-0.016869312783230648,-0.022462903025387657,5.977646429968153,-0.0018043208688046672,0.0035891258246247668,0.00030731072720307644,0.9999918840481329,1597,1597,1481,0.9274,-0.0023965918595951576,-0.0009614917892248973,0.999996665934941,0.00
11,4840,640000000,4840.640000000,-0.06562302077004722,0.03605952514058326,6.974741310788977,-0.002765547497191748,0.004664921207909092,-0.0013937919605804957,0.9999843236776941,1481,1481,1429,0.9649,-0.05587567746791179,0.054956702891835976,0.996924104169801,0.26
12,4840,672000000,4840.672000000,-0.0999844800413224,0.03901981398901431,7.974146397231246,-0.0017541885420372496,0.003986925070827912,-0.002061601461105222,0.9999883884578131,1429,1429,1303,0.9118,-0.04368459974519166,-0.002675379225041503,0.9990417899623142,0.16
13,4840,708000000,4840.708000000,-0.10629940282061388,0.05861120497939466,8.973934524360866,-0.0016162451010116358,0.0038564493428844804,-0.002667484526061985,0.9999876999626258,1303,1303,969,0.7437,-0.014360557508352894,0.016041126365190787,0.9997682014612115,0.07
14,4840,740000000,4840.740000000,-0.14581696181184195,0.1140221996760448,9.971615828284168,-0.0013356467685470134,0.0031489528036534467,-0.00445529232262995,0.9999842251327118,969,969,894,0.9226,-0.04749844179284274,0.05195410520831727,0.9975192574478224,0.22
15,4840,772000000,4840.772000000,-0.08642568205959542,0.040673194378213345,10.967152165798378,-0.0006155609060335299,0.0016830754529919654,-0.0018857132587506652,0.9999966162079231,894,894,800,0.8949,0.05378408662431198,-0.07550439020110954,0.9956939083304401,0.35
16,4840,804000000,4840.804000000,0.6670404022792228,0.30348484361898354,11.569828610314401,-0.24984066757695386,0.6152859361746262,0.04884328958014142,0.7460678190576285,800,679,40,0.0589,0.7504374471759497,0.2649038609704097,0.6055324783354017,83.31
17,4841,300000000,4841.300000000,0.6670404022792228,0.30348484361898354,11.569828610314401,-0.24984066757695386,0.6152859361746262,0.04884328958014142,0.7460678190576285,2000,0,0,0.0000,0.0,0.0,0.0,0.00
18,4841,332000000,4841.332000000,0.9987378917548557,-0.28887152002254757,12.304056581675438,-0.16838192943926983,0.7521384504154234,0.012347093399545074,0.637010852756511,2000,1091,24,0.0220,-0.4740914125333134,-0.871320054712876,0.12664396873644793,22.55
19,4841,960000000,4841.960000000,0.9987378917548557,-0.28887152002254757,12.304056581675438,-0.16838192943926983,0.7521384504154234,0.012347093399545074,0.637010852756511,2000,0,0,0.0000,0.0,0.0,0.0,0.00
20,4841,992000000,4841.992000000,1.9524462845382162,-0.05460380461255071,12.115485801724882,-0.16838952091905451,0.7521031685631793,0.012321512764866066,0.6370509974916158,2000,1985,785,0.3955,0.0001956095801065786,0.001292382253704599,0.9999991457421364,0.01
21,4842,292000000,4842.292000000,1.989206578773517,0.028584805881209943,11.119630221908285,-0.11712944875161431,0.59746065682538,-0.0003605679169650997,0.7932977535400599,785,667,145,0.2174,0.9338136062344519,0.26375648880106606,0.2417119430784114,25.96
22,4842,752000000,4842.752000000,1.4454631396090845,0.2832429622866936,11.919312843791364,-0.169745498296493,0.7046663777311396,-0.057796552509897674,0.6865066062473987,145,123,49,0.3984,-0.9493168892954238,0.1745069419948186,-0.2614283284077635,19.53
23,4844,8000000,4844.008000000,1.4454631396090845,0.2832429622866936,11.919312843791364,-0.169745498296493,0.7046663777311396,-0.057796552509897674,0.6865066062473987,2000,0,0,0.0000,0.0,0.0,0.0,0.00
24,4844,72000000,4844.072000000,2.4314821959256268,0.4389385532679011,11.859938577230428,-0.17008155558987165,0.7054517797416842,-0.057822441162621654,0.6856140431798454,2000,1978,542,0.2740,0.006885319614324179,0.006720072896572717,0.9999537154259058,0.14
25,4844,996000000,4844.996000000,1.4626144790228748,0.2581254324334993,12.029059724570947,-0.16963289344114668,0.7058677339914667,-0.05707052977173059,0.6853600354588169,542,537,291,0.5419,-0.10059596928990566,-0.06670422475203185,-0.992688771651445,0.11
26,4845,28000000,4845.028000000,2.4504837361484744,0.40410249037101315,11.97609719647774,-0.1691805558151573,0.7053654333824185,-0.05702946679671024,0.6859921171851687,291,291,286,0.9828,0.0008646457689839205,-0.006085987099493253,0.9999811063958755,0.11
27,4845,64000000,4845.064000000,3.4375484012362887,0.5554422218360135,11.923185641830555,-0.1691201535087918,0.7053014606078056,-0.05705436510069046,0.6860707126562215,286,286,283,0.9895,0.0006578186191936486,-0.0001191885328844113,0.999999776534354,0.01
28,4845,96000000,4845.096000000,4.426525481655805,0.6944090810186222,11.872072566655891,-0.16837584629573152,0.7044219899046139,-0.05671871624773983,0.6871842705928509,283,281,264,0.9395,0.003052958756601408,-0.01242048727830028,0.9999182021238537,0.19
29,4845,128000000,4845.128000000,5.416152146146247,0.8198680613647549,11.802078929944908,-0.1665673939898721,0.7031087962161503,-0.05672428768628352,0.6889671103393707,264,213,194,0.9108,0.028019225769897287,-0.018282348577812718,0.999440182661141,0.33
